IE_XML_ID;IE_NAME;IP_PROP28
3703;Motorola CP140;9906
3703;Motorola CP140;9905
3703;Motorola CP140;9908
3703;Motorola CP140;9907
3703;Motorola CP140;9912
3703;Motorola CP140;9910
3703;Motorola CP140;9911
3703;Motorola CP140;9909
3703;Motorola CP140;14063
3703;Motorola CP140;14068
3703;Motorola CP140;14069
3703;Motorola CP140;14064
3703;Motorola CP140;10948
3703;Motorola CP140;10949
3703;Motorola CP140;10947
3704;Motorola CP040;9907
3704;Motorola CP040;9905
3704;Motorola CP040;9906
3704;Motorola CP040;9908
3704;Motorola CP040;9912
3704;Motorola CP040;9909
3704;Motorola CP040;9910
3704;Motorola CP040;9911
3704;Motorola CP040;14063
3704;Motorola CP040;14069
3704;Motorola CP040;14068
3704;Motorola CP040;14064
3704;Motorola CP040;10949
3704;Motorola CP040;10948
3704;Motorola CP040;10947
3710;Motorola CP160;9906
3710;Motorola CP160;9905
3710;Motorola CP160;9908
3710;Motorola CP160;9907
3710;Motorola CP160;9912
3710;Motorola CP160;9909
3710;Motorola CP160;9910
3710;Motorola CP160;9911
3710;Motorola CP160;14063
3710;Motorola CP160;14064
3710;Motorola CP160;14068
3710;Motorola CP160;14069
3710;Motorola CP160;10947
3710;Motorola CP160;10949
3710;Motorola CP160;10948
3711;Motorola CP180;9905
3711;Motorola CP180;9908
3711;Motorola CP180;9907
3711;Motorola CP180;9912
3711;Motorola CP180;9906
3711;Motorola CP180;14063
3711;Motorola CP180;14064
3711;Motorola CP180;14069
3711;Motorola CP180;14068
3711;Motorola CP180;10947
3711;Motorola CP180;10949
3711;Motorola CP180;10948
3712;Motorola GP1280;3934
3712;Motorola GP1280;3932
3712;Motorola GP1280;3931
3712;Motorola GP1280;3930
3712;Motorola GP1280;3941
3712;Motorola GP1280;3915
3712;Motorola GP1280;3933
3712;Motorola GP1280;14059
3712;Motorola GP1280;14070
3712;Motorola GP1280;14071
3712;Motorola GP1280;14072
3712;Motorola GP1280;14075
3712;Motorola GP1280;14073
3713;Motorola GP140;3934
3713;Motorola GP140;3933
3713;Motorola GP140;3932
3713;Motorola GP140;3931
3713;Motorola GP140;3930
3713;Motorola GP140;3941
3713;Motorola GP140;3915
3713;Motorola GP140;14059
3713;Motorola GP140;14070
3713;Motorola GP140;14075
3713;Motorola GP140;14073
3713;Motorola GP140;14072
3713;Motorola GP140;14071
3714;Motorola GP320;3918
3714;Motorola GP320;3928
3714;Motorola GP320;3927
3714;Motorola GP320;3934
3714;Motorola GP320;3933
3714;Motorola GP320;3932
3714;Motorola GP320;3931
3714;Motorola GP320;3930
3714;Motorola GP320;3941
3714;Motorola GP320;3915
3714;Motorola GP320;14075
3714;Motorola GP320;14073
3714;Motorola GP320;14072
3714;Motorola GP320;14071
3714;Motorola GP320;14059
3714;Motorola GP320;14070
3715;Motorola GP340;3918
3715;Motorola GP340;3942
3715;Motorola GP340;3929
3715;Motorola GP340;3934
3715;Motorola GP340;3933
3715;Motorola GP340;3932
3715;Motorola GP340;3931
3715;Motorola GP340;3930
3715;Motorola GP340;3941
3715;Motorola GP340;3915
3715;Motorola GP340;14071
3715;Motorola GP340;14070
3715;Motorola GP340;14075
3715;Motorola GP340;14603
3716;Motorola GP344;3923
3716;Motorola GP344;3926
3716;Motorola GP344;3941
3716;Motorola GP344;14075
3716;Motorola GP344;14071
3716;Motorola GP344;14072
3716;Motorola GP344;14073
3716;Motorola GP344;14059
3716;Motorola GP344;14070
3716;Motorola GP344;14603
3717;Motorola GP360;3918
3717;Motorola GP360;3928
3717;Motorola GP360;3927
3717;Motorola GP360;3923
3717;Motorola GP360;3926
3717;Motorola GP360;3934
3717;Motorola GP360;3933
3717;Motorola GP360;3932
3717;Motorola GP360;3931
3717;Motorola GP360;3930
3717;Motorola GP360;3941
3717;Motorola GP360;3915
3717;Motorola GP360;14073
3717;Motorola GP360;14075
3717;Motorola GP360;14071
3717;Motorola GP360;14070
3717;Motorola GP360;14059
3717;Motorola GP360;14072
3718;Motorola GP380;3918
3718;Motorola GP380;3928
3718;Motorola GP380;3927
3718;Motorola GP380;3934
3718;Motorola GP380;3933
3718;Motorola GP380;3932
3718;Motorola GP380;3931
3718;Motorola GP380;3930
3718;Motorola GP380;3941
3718;Motorola GP380;3915
3718;Motorola GP380;14072
3718;Motorola GP380;14075
3718;Motorola GP380;14073
3718;Motorola GP380;14603
3719;Motorola GP388;3923
3719;Motorola GP388;3926
3719;Motorola GP388;3941
3719;Motorola GP388;14059
3719;Motorola GP388;14070
3719;Motorola GP388;14073
3719;Motorola GP388;14072
3719;Motorola GP388;14071
3719;Motorola GP388;14075
3720;Motorola GP640;3934
3720;Motorola GP640;3933
3720;Motorola GP640;3932
3720;Motorola GP640;3931
3720;Motorola GP640;3930
3720;Motorola GP640;3941
3720;Motorola GP640;3915
3720;Motorola GP640;3914
3720;Motorola GP640;3917
3720;Motorola GP640;3918
3720;Motorola GP640;3920
3720;Motorola GP640;3925
3720;Motorola GP640;3911
3720;Motorola GP640;3924
3720;Motorola GP640;3919
3720;Motorola GP640;3916
3720;Motorola GP640;3936
3720;Motorola GP640;3937
3720;Motorola GP640;3943
3720;Motorola GP640;3939
3720;Motorola GP640;3912
3720;Motorola GP640;3929
3720;Motorola GP640;3928
3720;Motorola GP640;3935
3720;Motorola GP640;3962
3720;Motorola GP640;3961
3720;Motorola GP640;3951
3720;Motorola GP640;14071
3720;Motorola GP640;14073
3720;Motorola GP640;14059
3720;Motorola GP640;14070
3720;Motorola GP640;14075
3720;Motorola GP640;14072
3721;Motorola GP644;3941
3721;Motorola GP644;3926
3721;Motorola GP644;14073
3722;Motorola GP680;3934
3722;Motorola GP680;3933
3722;Motorola GP680;3932
3722;Motorola GP680;3931
3722;Motorola GP680;3930
