IE_XML_ID;IE_NAME;IP_PROP55
3703;Motorola CP140;
3704;Motorola CP040;
3710;Motorola CP160;
3711;Motorola CP180;
3712;Motorola GP1280;
3713;Motorola GP140;
3714;Motorola GP320;
3715;Motorola GP340;
3716;Motorola GP344;
3717;Motorola GP360;
3718;Motorola GP380;
3719;Motorola GP388;
3720;Motorola GP640;
3721;Motorola GP644;
3722;Motorola GP680;
3723;Motorola GP688;
3724;Motorola GP900;
3725;Motorola P020;
3726;Motorola P080;
3727;Icom IC-F16;
3728;Icom IC-F26;
3729;Icom IC-F30GT;
3730;Icom IC-F33GT;
3731;Icom IC-F3GS;
3732;Icom IC-F3GT;
3733;Icom IC-F40GT;
3734;Icom IC-F43GT;
3735;Icom IC-F50;
3736;Kenwood TK-2160;
3737;Kenwood TK-2170M;14868
3738;Kenwood TK-2206;
3740;Kenwood TK-3170M / TK-3170M3;
3742;Motorola DM3400 / 3401;
3743;Motorola DM3600 / 3601;
3744;Motorola DM4401;4320
3745;Motorola DM4601;4320
3746;Motorola DM1400;4320
3746;Motorola DM1400;15039
3747;Motorola DM1600;4320
3748;Motorola DM2600;4320
3749;Motorola DP2600;4320
3750;Motorola DP1400 (цифровая) ;4320
3751;Motorola DP3400 / 3401;
3752;Motorola DP3600 / 3601;
3753;Motorola DP2400;4320
3754;Motorola DP4400;4320
3755;Motorola DP4601;4320
3756;Motorola DP4801;
3757;Motorola DP3441;4320
3758;Motorola SL4010;4320
3759;Motorola DP4401 Ex;
3760;Motorola DP4801 Ex;
3761;Motorola DR3000(1-25W);
3762;Motorola DR3000(25-45W);
3763;Motorola DR3000(1-40W);
3764;Motorola MTR3000;
3765;Motorola P030;
3766;Motorola P040;
3767;Motorola GP340 ATEX;
3768;Motorola GP380 ATEX;
3769;Motorola GP680 ATEX;
3770;Motorola CM140;
3771;Motorola CM160;
3772;Motorola CM340;
3773;Motorola CM360;
3774;Motorola GM140;
3775;Motorola GM160;
3776;Motorola GM340;10521
3777;Motorola GM360;
3778;Motorola GM380;
3779;Motorola GM640;
3780;Motorola GM660;
3781;Motorola GM1280;
3782;ЕРМАК Р350 / 660;
3793;Vertex Standard EVX-5300;9473
3794;Vertex Standard EVX-5400;9473
3795;Vertex Standard EVX-531;9473
3796;Vertex Standard EVX-534;9473
3797;Vertex Standard EVX-539;9473
3798;Vertex Standard EVX-R70;
3799;Vertex Standard VXD-R70;
3802;Vertex Standard VX-4600;9473
3803;Vertex Standard VX-4500;9473
3804;Vertex Standard VX-459 ;9473
3805;Vertex Standard VX-454;9473
3806;Vertex Standard VX-451;9473
3807;Vertex Standard VX-231;9473
3807;Vertex Standard VX-231;9735
3808;Vertex Standard VXR-7000;
3809;Vertex Standard VXR-9000;
3810;Vertex Standard VX-417;9473
3811;Vertex Standard VX-2200 ;4190
3811;Vertex Standard VX-2200 ;9473
3812;Vertex Standard VX-2100;9473
3813;Vertex Standard VX-929E;9473
3814;Vertex Standard VX-924E;9473
3815;Vertex Standard VX-921E;9473
3816;Vertex Standard VX-829E;9473
3817;Vertex Standard VX-824E;9473
3818;Vertex Standard VX-821E;9473
3819;Vertex Standard VX-354;9473
3820;Vertex Standard VX-351;9473
3820;Vertex Standard VX-351;9735
3823;Vector VT-44 PRO;
3824;Vector VT-44 Combat;
3825;Vector VT-43 R2;
3826;Vector Intek DRS-5570;
3827;Vector VT-48 GT;
3828;Vector VT-48 W;
3829;Vector VT-47 SPORT;
3830;Vector VT-47 M2;
3831;Vector VT-47 PILOT;
3832;Vector VT-47 ULTRA;
3833;Vector VT-44 Master;
3834;Vector VT-44 HS;
3835;Vector VT-44 H;
3836;Vector VT-44 STD;
3837;Vector VT-44 Military #01;
3838;Vector VT-44 Military #03;
3839;Vector VT-44 Military Special;
3840;Yealink SIP-T18P;7963
3840;Yealink SIP-T18P;8699
3840;Yealink SIP-T18P;6948
3840;Yealink SIP-T18P;8700
3840;Yealink SIP-T18P;8567
3840;Yealink SIP-T18P;9491
3840;Yealink SIP-T18P;4960
3840;Yealink SIP-T18P;15022
3840;Yealink SIP-T18P;15566
3842;Yealink SIP-T19;9317
3842;Yealink SIP-T19;8699
3842;Yealink SIP-T19;7963
3842;Yealink SIP-T19;6948
3842;Yealink SIP-T19;8700
3842;Yealink SIP-T19;9491
3842;Yealink SIP-T19;8567
3842;Yealink SIP-T19;4960
3842;Yealink SIP-T19;15022
3843;Yealink SIP-T19P;9317
3843;Yealink SIP-T19P;8699
3843;Yealink SIP-T19P;7963
3843;Yealink SIP-T19P;8700
3843;Yealink SIP-T19P;6948
3843;Yealink SIP-T19P;9491
3843;Yealink SIP-T19P;8567
3843;Yealink SIP-T19P;4960
3843;Yealink SIP-T19P;15022
3844;Yealink SIP-T20;8699
3844;Yealink SIP-T20;7963
3844;Yealink SIP-T20;8700
3844;Yealink SIP-T20;6948
3844;Yealink SIP-T20;9491
3844;Yealink SIP-T20;8567
3844;Yealink SIP-T20;4960
3844;Yealink SIP-T20;15022
3844;Yealink SIP-T20;15566
3845;Yealink SIP-T20P;7963
3845;Yealink SIP-T20P;8699
3845;Yealink SIP-T20P;6948
3845;Yealink SIP-T20P;8700
3845;Yealink SIP-T20P;9491
3845;Yealink SIP-T20P;8567
3845;Yealink SIP-T20P;4960
3845;Yealink SIP-T20P;15022
3845;Yealink SIP-T20P;15566
3846;Yealink SIP-T21;8049
3846;Yealink SIP-T21;9491
3846;Yealink SIP-T21;8700
3846;Yealink SIP-T21;8699
3846;Yealink SIP-T21;7963
3846;Yealink SIP-T21;6948
3846;Yealink SIP-T21;8567
3846;Yealink SIP-T21;15022
3846;Yealink SIP-T21;15566
3847;Yealink SIP-T21P;8049
3847;Yealink SIP-T21P;9491
3847;Yealink SIP-T21P;8700
3847;Yealink SIP-T21P;8699
3847;Yealink SIP-T21P;7963
3847;Yealink SIP-T21P;6948
3847;Yealink SIP-T21P;8567
3847;Yealink SIP-T21P;6195
3847;Yealink SIP-T21P;4960
3847;Yealink SIP-T21P;15022
3847;Yealink SIP-T21P;15566
3848;Yealink SIP-T22P;15022
3848;Yealink SIP-T22P;15566
3849;Yealink SIP-T26P;9491
3849;Yealink SIP-T26P;8567
3849;Yealink SIP-T26P;8700
3849;Yealink SIP-T26P;8699
3849;Yealink SIP-T26P;6948
3849;Yealink SIP-T26P;4960
3849;Yealink SIP-T26P;7963
3849;Yealink SIP-T26P;9261
3849;Yealink SIP-T26P;15022
3849;Yealink SIP-T26P;15566
3850;Yealink SIP-T28P;9491
3850;Yealink SIP-T28P;8699
3850;Yealink SIP-T28P;8700
3850;Yealink SIP-T28P;8567
3850;Yealink SIP-T28P;8364
3850;Yealink SIP-T28P;7817
3850;Yealink SIP-T28P;6948
3850;Yealink SIP-T28P;4960
3850;Yealink SIP-T28P;7963
3850;Yealink SIP-T28P;6195
3850;Yealink SIP-T28P;15022
3850;Yealink SIP-T28P;15566
3851;Yealink SIP-T32G;9491
3851;Yealink SIP-T32G;8699
3851;Yealink SIP-T32G;8700
3851;Yealink SIP-T32G;8567
3851;Yealink SIP-T32G;8364
3851;Yealink SIP-T32G;7817
3851;Yealink SIP-T32G;6948
3851;Yealink SIP-T32G;4960
3851;Yealink SIP-T32G;7963
3851;Yealink SIP-T32G;6195
3851;Yealink SIP-T32G;15022
3851;Yealink SIP-T32G;15566
3852;Yealink SIP-T38G;7963
3852;Yealink SIP-T38G;4960
3852;Yealink SIP-T38G;6948
3852;Yealink SIP-T38G;7817
3852;Yealink SIP-T38G;8567
3852;Yealink SIP-T38G;8699
3852;Yealink SIP-T38G;8700
3852;Yealink SIP-T38G;9491
3852;Yealink SIP-T38G;15022
3852;Yealink SIP-T38G;15566
3853;Yealink SIP-T41P;9491
3853;Yealink SIP-T41P;8700
3853;Yealink SIP-T41P;8699
3853;Yealink SIP-T41P;8567
3853;Yealink SIP-T41P;8364
3853;Yealink SIP-T41P;7817
3853;Yealink SIP-T41P;6948
3853;Yealink SIP-T41P;6195
3853;Yealink SIP-T41P;4960
3853;Yealink SIP-T41P;7963
3853;Yealink SIP-T41P;15022
3853;Yealink SIP-T41P;15566
3854;Yealink SIP-T42G;9491
3854;Yealink SIP-T42G;8700
3854;Yealink SIP-T42G;8699
3854;Yealink SIP-T42G;8567
3854;Yealink SIP-T42G;6948
3854;Yealink SIP-T42G;8364
3854;Yealink SIP-T42G;7817
3854;Yealink SIP-T42G;6195
3854;Yealink SIP-T42G;4960
3854;Yealink SIP-T42G;7963
3854;Yealink SIP-T42G;15022
3854;Yealink SIP-T42G;15566
3855;Yealink SIP-T46G;9491
3855;Yealink SIP-T46G;8700
3855;Yealink SIP-T46G;8699
3855;Yealink SIP-T46G;8567
3855;Yealink SIP-T46G;8364
3855;Yealink SIP-T46G;7817
3855;Yealink SIP-T46G;6948
3855;Yealink SIP-T46G;6195
3855;Yealink SIP-T46G;4960
3855;Yealink SIP-T46G;7963
3855;Yealink SIP-T46G;15022
3855;Yealink SIP-T46G;15566
3856;Yealink W52H;7351
3856;Yealink W52H;9491
3856;Yealink W52H;8700
3856;Yealink W52H;8699
3856;Yealink W52H;6948
3856;Yealink W52H;7963
3856;Yealink W52H;15022
3857;Yealink W52P;7351
3857;Yealink W52P;9491
3857;Yealink W52P;8700
3857;Yealink W52P;8699
3857;Yealink W52P;6948
3857;Yealink W52P;7963
3857;Yealink W52P;9650
3857;Yealink W52P;10202
3857;Yealink W52P;15022
3858;Yealink VP530;8699
3858;Yealink VP530;6948
3858;Yealink VP530;9491
3858;Yealink VP530;8700
3858;Yealink VP530;7963
3858;Yealink VP530;8567
3858;Yealink VP530;6195
3858;Yealink VP530;4960
3858;Yealink VP530;15022
3860;Yeastar MyPBX U520;15022
3865;Yeastar MyPBX U510;15022
3866;Yeastar MyPBX U500;15022
3867;Yeastar MyPBX U300;15022
3868;Yeastar MyPBX U200;15022
3869;Yeastar MyPBX U100;7351
3869;Yeastar MyPBX U100;15022
3870;Yeastar MyPBX Standard;4123
3870;Yeastar MyPBX Standard;14935
3870;Yeastar MyPBX Standard;15022
3871;Yeastar MyPBX SOHO;4123
3871;Yeastar MyPBX SOHO;14935
3871;Yeastar MyPBX SOHO;15022
3872;Yeastar O2;
3873;Yeastar S2;
3874;Yeastar SO;
3875;Yeastar GSM;7351
3876;Yeastar UMTS;
3877;Yeastar B2;
3880;Yealink YHS32;
3881;Mairdi MRD-308S;
3882;Mairdi MRD-308DS;
3883;Mairdi MRD-509S;
3884;Mairdi MRD-509DS;
3885;Mairdi MRD-510S;
3886;Mairdi MRD-510DS;
3887;Mairdi MRD-512S;
3888;Mairdi MRD-512DS;
3889;Mairdi MRD-609;
3891;Mairdi MRD-609D;
3892;Mairdi MRD-QD002;
3893;Mairdi MRD-QD002(A);
3894;Mairdi MRD-QD005;
3895;Mairdi MRD-QD005;
3896;Mairdi MRD-QD012;
3897;Mairdi MRD-USB001;
3898;Mairdi MRD-QD011;
3911;Motorola MDRMN4028;
3912;Motorola HMN9727;
3913;Motorola BDN6667;
3914;Motorola MDPMMN4009;
3915;Motorola MDPMLN4556;
3916;Motorola MDRMN5037;
3917;Motorola MDPMMN4021;
3918;Motorola MDPMMN4027;
3919;Motorola MDRMN4031;
3920;Motorola MDRMN4018;
3921;Motorola ENMN4012;
3922;Motorola MDPMLN4653;
3923;Motorola PMLN4605;
3924;Motorola MDRMN4029;
3925;Motorola MDRMN4021;
3926;Motorola MDPMLN4519;
3927;Motorola HNN4003;
3928;Motorola HNN4002;
3929;Motorola HNN4001;
3930;Motorola HNN9013;
3931;Motorola HNN9012;
3932;Motorola HNN9011;
3933;Motorola HNN9010;
3934;Motorola HNN9009;
3935;Motorola HNN9008;
3936;Motorola EN1009;
3937;Motorola EN1008;
3938;Motorola EN1007;
