IE_XML_ID;IE_NAME;IP_PROP33
3703;Motorola CP140;3708
3703;Motorola CP140;3862
3703;Motorola CP140;8316
3703;Motorola CP140;8319
3703;Motorola CP140;8320
3704;Motorola CP040;3708
3704;Motorola CP040;3862
3704;Motorola CP040;8319
3704;Motorola CP040;8316
3704;Motorola CP040;8320
3710;Motorola CP160;3708
3710;Motorola CP160;3862
3710;Motorola CP160;8316
3710;Motorola CP160;8320
3710;Motorola CP160;8319
3711;Motorola CP180;3708
3711;Motorola CP180;3862
3711;Motorola CP180;8320
3711;Motorola CP180;8316
3711;Motorola CP180;8319
3712;Motorola GP1280;3708
3712;Motorola GP1280;3862
3712;Motorola GP1280;8316
3712;Motorola GP1280;8319
3712;Motorola GP1280;8320
3713;Motorola GP140;3708
3713;Motorola GP140;3862
3713;Motorola GP140;8316
3713;Motorola GP140;8320
3713;Motorola GP140;8319
3714;Motorola GP320;3708
3714;Motorola GP320;3862
3714;Motorola GP320;8319
3714;Motorola GP320;8320
3714;Motorola GP320;8316
3715;Motorola GP340;3708
3715;Motorola GP340;3862
3715;Motorola GP340;8316
3715;Motorola GP340;8320
3715;Motorola GP340;8319
3715;Motorola GP340;8325
3716;Motorola GP344;3708
3716;Motorola GP344;3862
3716;Motorola GP344;8320
3716;Motorola GP344;8316
3716;Motorola GP344;8319
3717;Motorola GP360;3708
3717;Motorola GP360;3862
3717;Motorola GP360;8319
3717;Motorola GP360;8316
3717;Motorola GP360;8320
3718;Motorola GP380;3708
3718;Motorola GP380;3862
3718;Motorola GP380;8320
3718;Motorola GP380;8319
3718;Motorola GP380;8316
3718;Motorola GP380;8325
3719;Motorola GP388;3708
3719;Motorola GP388;3862
3719;Motorola GP388;8319
3719;Motorola GP388;8316
3719;Motorola GP388;8320
3720;Motorola GP640;3708
3720;Motorola GP640;3862
3720;Motorola GP640;8320
3720;Motorola GP640;8319
3720;Motorola GP640;8316
3721;Motorola GP644;3708
3721;Motorola GP644;8316
3721;Motorola GP644;8320
3721;Motorola GP644;3862
3722;Motorola GP680;3708
3722;Motorola GP680;8316
3722;Motorola GP680;8320
3722;Motorola GP680;3862
3722;Motorola GP680;8319
3723;Motorola GP688;3708
3723;Motorola GP688;8320
3723;Motorola GP688;3862
3723;Motorola GP688;8316
3724;Motorola GP900;3708
3724;Motorola GP900;3862
3724;Motorola GP900;8316
3724;Motorola GP900;8319
3724;Motorola GP900;8320
3725;Motorola P020;3708
3725;Motorola P020;3862
3725;Motorola P020;8320
3725;Motorola P020;8316
3725;Motorola P020;8319
3726;Motorola P080;3708
3726;Motorola P080;3862
3726;Motorola P080;8320
3726;Motorola P080;8319
3726;Motorola P080;8316
3727;Icom IC-F16;3707
3727;Icom IC-F16;3862
3727;Icom IC-F16;8316
3727;Icom IC-F16;8319
3727;Icom IC-F16;8320
3728;Icom IC-F26;3707
3728;Icom IC-F26;3862
3728;Icom IC-F26;8316
3728;Icom IC-F26;8320
3729;Icom IC-F30GT;3707
3729;Icom IC-F30GT;3862
3729;Icom IC-F30GT;8316
3729;Icom IC-F30GT;8319
3730;Icom IC-F33GT;3707
3730;Icom IC-F33GT;8316
3730;Icom IC-F33GT;8319
3730;Icom IC-F33GT;3862
3731;Icom IC-F3GS;3707
3731;Icom IC-F3GS;3862
3731;Icom IC-F3GS;8316
3731;Icom IC-F3GS;8319
3732;Icom IC-F3GT;3707
3732;Icom IC-F3GT;3862
3732;Icom IC-F3GT;8316
3732;Icom IC-F3GT;8319
3733;Icom IC-F40GT;8316
3733;Icom IC-F40GT;3862
3733;Icom IC-F40GT;8320
3733;Icom IC-F40GT;3707
3734;Icom IC-F43GT;3707
3734;Icom IC-F43GT;8316
3734;Icom IC-F43GT;3862
3734;Icom IC-F43GT;8320
3735;Icom IC-F50;3707
3735;Icom IC-F50;8316
3735;Icom IC-F50;8319
3735;Icom IC-F50;3862
3736;Kenwood TK-2160;3709
3736;Kenwood TK-2160;3862
3736;Kenwood TK-2160;8319
3736;Kenwood TK-2160;8316
3737;Kenwood TK-2170M;3709
3737;Kenwood TK-2170M;3862
3737;Kenwood TK-2170M;8319
3737;Kenwood TK-2170M;8316
3738;Kenwood TK-2206;3709
3738;Kenwood TK-2206;3862
3738;Kenwood TK-2206;8316
3738;Kenwood TK-2206;8319
3740;Kenwood TK-3170M / TK-3170M3;3709
3740;Kenwood TK-3170M / TK-3170M3;3862
3740;Kenwood TK-3170M / TK-3170M3;8320
3740;Kenwood TK-3170M / TK-3170M3;8316
3742;Motorola DM3400 / 3401;3708
3742;Motorola DM3400 / 3401;8315
3742;Motorola DM3400 / 3401;8319
3742;Motorola DM3400 / 3401;8320
3743;Motorola DM3600 / 3601;3708
3743;Motorola DM3600 / 3601;8315
3743;Motorola DM3600 / 3601;8319
3743;Motorola DM3600 / 3601;8320
3744;Motorola DM4401;3708
3744;Motorola DM4401;8315
3744;Motorola DM4401;8319
3744;Motorola DM4401;8320
3745;Motorola DM4601;3708
3745;Motorola DM4601;8315
3745;Motorola DM4601;8319
3745;Motorola DM4601;8320
3746;Motorola DM1400;3708
3746;Motorola DM1400;8315
3746;Motorola DM1400;8319
3746;Motorola DM1400;8320
3746;Motorola DM1400;15417
3747;Motorola DM1600;3708
3747;Motorola DM1600;8315
3747;Motorola DM1600;8319
3747;Motorola DM1600;8320
3748;Motorola DM2600;3708
3748;Motorola DM2600;8315
3748;Motorola DM2600;8320
3748;Motorola DM2600;8319
3749;Motorola DP2600;3708
3749;Motorola DP2600;3862
3749;Motorola DP2600;8315
3749;Motorola DP2600;8319
3749;Motorola DP2600;8320
3750;Motorola DP1400 (цифровая) ;3708
3750;Motorola DP1400 (цифровая) ;3862
3750;Motorola DP1400 (цифровая) ;8315
3750;Motorola DP1400 (цифровая) ;8319
3750;Motorola DP1400 (цифровая) ;8320
3750;Motorola DP1400 (цифровая) ;15417
3751;Motorola DP3400 / 3401;3708
3751;Motorola DP3400 / 3401;3862
3751;Motorola DP3400 / 3401;8315
3751;Motorola DP3400 / 3401;8319
3751;Motorola DP3400 / 3401;8320
3752;Motorola DP3600 / 3601;3708
3752;Motorola DP3600 / 3601;3862
3752;Motorola DP3600 / 3601;8315
3752;Motorola DP3600 / 3601;8319
3752;Motorola DP3600 / 3601;8320
3753;Motorola DP2400;3708
3753;Motorola DP2400;3862
3753;Motorola DP2400;8315
3753;Motorola DP2400;8319
3753;Motorola DP2400;8320
3754;Motorola DP4400;3708
3754;Motorola DP4400;3862
3754;Motorola DP4400;8320
3754;Motorola DP4400;8319
3754;Motorola DP4400;8315
3755;Motorola DP4601;3708
3755;Motorola DP4601;3862
3755;Motorola DP4601;8320
3755;Motorola DP4601;8319
3755;Motorola DP4601;8315
3756;Motorola DP4801;3708
3756;Motorola DP4801;3862
3756;Motorola DP4801;8315
3756;Motorola DP4801;8319
3756;Motorola DP4801;8320
3757;Motorola DP3441;3708
3757;Motorola DP3441;3862
3757;Motorola DP3441;8319
3757;Motorola DP3441;8315
3757;Motorola DP3441;8320
3758;Motorola SL4010;3708
3758;Motorola SL4010;3862
3758;Motorola SL4010;8320
3758;Motorola SL4010;8315
3759;Motorola DP4401 Ex;3708
3759;Motorola DP4401 Ex;3862
3759;Motorola DP4401 Ex;8315
3759;Motorola DP4401 Ex;8319
3759;Motorola DP4401 Ex;8320
3759;Motorola DP4401 Ex;9954
3760;Motorola DP4801 Ex;3708
3760;Motorola DP4801 Ex;3862
3760;Motorola DP4801 Ex;8315
3760;Motorola DP4801 Ex;8319
3760;Motorola DP4801 Ex;8320
3760;Motorola DP4801 Ex;9954
3761;Motorola DR3000(1-25W);3708
3761;Motorola DR3000(1-25W);8320
3761;Motorola DR3000(1-25W);8317
3762;Motorola DR3000(25-45W);3708
3762;Motorola DR3000(25-45W);8317
3762;Motorola DR3000(25-45W);8319
3763;Motorola DR3000(1-40W);3708
3763;Motorola DR3000(1-40W);8320
3763;Motorola DR3000(1-40W);8317
3764;Motorola MTR3000;3708
3764;Motorola MTR3000;8317
3764;Motorola MTR3000;8319
3764;Motorola MTR3000;8320
3765;Motorola P030;3708
3765;Motorola P030;3862
3765;Motorola P030;8316
3765;Motorola P030;8319
3765;Motorola P030;8320
3766;Motorola P040;3708
3766;Motorola P040;3862
3766;Motorola P040;8320
3766;Motorola P040;8316
3766;Motorola P040;8319
3767;Motorola GP340 ATEX;3708
3767;Motorola GP340 ATEX;3862
3767;Motorola GP340 ATEX;8319
3767;Motorola GP340 ATEX;8320
3767;Motorola GP340 ATEX;8316
3767;Motorola GP340 ATEX;9954
3768;Motorola GP380 ATEX;3708
3768;Motorola GP380 ATEX;3862
3768;Motorola GP380 ATEX;8316
3768;Motorola GP380 ATEX;8319
3768;Motorola GP380 ATEX;8320
3768;Motorola GP380 ATEX;9954
3769;Motorola GP680 ATEX;3708
3769;Motorola GP680 ATEX;3862
3769;Motorola GP680 ATEX;8316
3769;Motorola GP680 ATEX;8319
3769;Motorola GP680 ATEX;8320
3769;Motorola GP680 ATEX;9954
3770;Motorola CM140;3708
3770;Motorola CM140;8319
3770;Motorola CM140;8320
3770;Motorola CM140;8316
3771;Motorola CM160;3708
3771;Motorola CM160;8319
3771;Motorola CM160;8316
3771;Motorola CM160;8320
3772;Motorola CM340;3708
3772;Motorola CM340;8316
3772;Motorola CM340;8319
3772;Motorola CM340;8320
3773;Motorola CM360;3708
3773;Motorola CM360;8320
3773;Motorola CM360;8319
3773;Motorola CM360;8316
3774;Motorola GM140;3708
3774;Motorola GM140;8316
3774;Motorola GM140;8319
3774;Motorola GM140;8320
3775;Motorola GM160;3708
3775;Motorola GM160;8319
3775;Motorola GM160;8316
3775;Motorola GM160;8320
3776;Motorola GM340;3708
3776;Motorola GM340;8316
3776;Motorola GM340;8319
3776;Motorola GM340;8320
3777;Motorola GM360;3708
3777;Motorola GM360;8316
3777;Motorola GM360;8320
3777;Motorola GM360;8319
3777;Motorola GM360;8325
3778;Motorola GM380;3708
3778;Motorola GM380;8319
3778;Motorola GM380;8316
3778;Motorola GM380;8320
3779;Motorola GM640;3708
3779;Motorola GM640;8316
3779;Motorola GM640;8319
3779;Motorola GM640;8320
3780;Motorola GM660;3708
3780;Motorola GM660;8316
3780;Motorola GM660;8320
3780;Motorola GM660;8319
3781;Motorola GM1280;3708
3781;Motorola GM1280;8316
3781;Motorola GM1280;8319
3782;ЕРМАК Р350 / 660;3708
3793;Vertex Standard EVX-5300;3792
3793;Vertex Standard EVX-5300;8315
3793;Vertex Standard EVX-5300;8319
3793;Vertex Standard EVX-5300;8320
3794;Vertex Standard EVX-5400;3792
3794;Vertex Standard EVX-5400;8319
3794;Vertex Standard EVX-5400;8320
3794;Vertex Standard EVX-5400;8315
3795;Vertex Standard EVX-531;3792
3795;Vertex Standard EVX-531;3862
3795;Vertex Standard EVX-531;8320
3795;Vertex Standard EVX-531;8319
3795;Vertex Standard EVX-531;8315
3796;Vertex Standard EVX-534;3792
3796;Vertex Standard EVX-534;3862
3796;Vertex Standard EVX-534;8315
3796;Vertex Standard EVX-534;8320
3796;Vertex Standard EVX-534;8319
3797;Vertex Standard EVX-539;3792
3797;Vertex Standard EVX-539;3862
3797;Vertex Standard EVX-539;8320
3797;Vertex Standard EVX-539;8315
3797;Vertex Standard EVX-539;8319
3798;Vertex Standard EVX-R70;3792
3798;Vertex Standard EVX-R70;8317
3798;Vertex Standard EVX-R70;8319
3798;Vertex Standard EVX-R70;8320
3799;Vertex Standard VXD-R70;3792
3799;Vertex Standard VXD-R70;8317
3799;Vertex Standard VXD-R70;8319
3799;Vertex Standard VXD-R70;8320
3802;Vertex Standard VX-4600;3792
3802;Vertex Standard VX-4600;8316
3802;Vertex Standard VX-4600;8320
3802;Vertex Standard VX-4600;8319
3803;Vertex Standard VX-4500;3792
3803;Vertex Standard VX-4500;8316
3803;Vertex Standard VX-4500;8319
3803;Vertex Standard VX-4500;8320
3804;Vertex Standard VX-459 ;3792
3804;Vertex Standard VX-459 ;3862
3804;Vertex Standard VX-459 ;8319
3804;Vertex Standard VX-459 ;8316
3804;Vertex Standard VX-459 ;8320
3804;Vertex Standard VX-459 ;3708
3805;Vertex Standard VX-454;3792
3805;Vertex Standard VX-454;3862
3805;Vertex Standard VX-454;8316
3805;Vertex Standard VX-454;8319
3805;Vertex Standard VX-454;8320
3805;Vertex Standard VX-454;3708
3806;Vertex Standard VX-451;3792
3806;Vertex Standard VX-451;3862
3806;Vertex Standard VX-451;8319
3806;Vertex Standard VX-451;8320
3806;Vertex Standard VX-451;8316
