IE_XML_ID;IE_NAME;IP_PROP53
3703;Motorola CP140;3704
3703;Motorola CP140;3710
3703;Motorola CP140;3711
3704;Motorola CP040;3703
3704;Motorola CP040;3710
3704;Motorola CP040;3711
3710;Motorola CP160;3704
3710;Motorola CP160;3703
3710;Motorola CP160;3711
3711;Motorola CP180;3704
3711;Motorola CP180;3703
3711;Motorola CP180;3710
3712;Motorola GP1280;3713
3712;Motorola GP1280;3714
3712;Motorola GP1280;3715
3712;Motorola GP1280;3717
3712;Motorola GP1280;3718
3712;Motorola GP1280;3719
3712;Motorola GP1280;3720
3712;Motorola GP1280;3722
3712;Motorola GP1280;3724
3713;Motorola GP140;3712
3713;Motorola GP140;3714
3713;Motorola GP140;3715
3713;Motorola GP140;3716
3713;Motorola GP140;3717
3713;Motorola GP140;3718
3713;Motorola GP140;3719
3713;Motorola GP140;3720
3713;Motorola GP140;3722
3713;Motorola GP140;3724
3714;Motorola GP320;3712
3714;Motorola GP320;3717
3714;Motorola GP320;3714
3714;Motorola GP320;3715
3714;Motorola GP320;3716
3714;Motorola GP320;3718
3714;Motorola GP320;3724
3714;Motorola GP320;3713
3714;Motorola GP320;3719
3714;Motorola GP320;3722
3714;Motorola GP320;3720
3715;Motorola GP340;3718
3715;Motorola GP340;3715
3715;Motorola GP340;3714
3715;Motorola GP340;3716
3715;Motorola GP340;3712
3715;Motorola GP340;3717
3715;Motorola GP340;3722
3715;Motorola GP340;3719
3715;Motorola GP340;3720
3715;Motorola GP340;3724
3715;Motorola GP340;3713
3716;Motorola GP344;3714
3716;Motorola GP344;3715
3716;Motorola GP344;3718
3716;Motorola GP344;3716
3716;Motorola GP344;3717
3716;Motorola GP344;3712
3716;Motorola GP344;3719
3716;Motorola GP344;3720
3716;Motorola GP344;3722
3716;Motorola GP344;3724
3716;Motorola GP344;3713
3717;Motorola GP360;3718
3717;Motorola GP360;3716
3717;Motorola GP360;3715
3717;Motorola GP360;3714
3717;Motorola GP360;3712
3717;Motorola GP360;3719
3717;Motorola GP360;3720
3717;Motorola GP360;3722
3717;Motorola GP360;3724
3717;Motorola GP360;3713
3718;Motorola GP380;3714
3718;Motorola GP380;3717
3718;Motorola GP380;3712
3718;Motorola GP380;3715
3718;Motorola GP380;3716
3718;Motorola GP380;3724
3718;Motorola GP380;3722
3718;Motorola GP380;3720
3718;Motorola GP380;3719
3718;Motorola GP380;3713
3719;Motorola GP388;3716
3719;Motorola GP388;3717
3719;Motorola GP388;3718
3719;Motorola GP388;3715
3719;Motorola GP388;3714
3719;Motorola GP388;3712
3719;Motorola GP388;3719
3719;Motorola GP388;3720
3719;Motorola GP388;3722
3719;Motorola GP388;3724
3719;Motorola GP388;3713
3720;Motorola GP640;3712
3720;Motorola GP640;3717
3720;Motorola GP640;3718
3720;Motorola GP640;3715
3720;Motorola GP640;3714
3720;Motorola GP640;3716
3720;Motorola GP640;3719
3720;Motorola GP640;3720
3720;Motorola GP640;3722
3720;Motorola GP640;3724
3720;Motorola GP640;3713
3721;Motorola GP644;3715
3721;Motorola GP644;3714
3721;Motorola GP644;3716
3721;Motorola GP644;3718
3721;Motorola GP644;3717
3721;Motorola GP644;3712
3721;Motorola GP644;3719
3721;Motorola GP644;3720
