IE_XML_ID;IE_NAME;IE_PREVIEW_PICTURE
5172;Hytera PCN005;/upload/iblock/012/012a3b9eb6a404088dc1c94fab378a2b.png
7859;Kenwood TK-7100M;/upload/iblock/f2b/kenwood-tk_7100m.jpg
7956;Diamond MC200;/upload/iblock/036/036f07cace9182e0dae32516240cd636.JPG
3761;Motorola DR3000(1-25W);/upload/iblock/5c0/5c0138d0a7c77c11f2d23f69e20988d4.jpg
3762;Motorola DR3000(25-45W);/upload/iblock/ce6/ce65390cec545b0245225d2b568aa5e8.jpg
3763;Motorola DR3000(1-40W);/upload/iblock/f4e/f4ef4782093a842da39145869099d59d.jpg
3764;Motorola MTR3000;/upload/iblock/1b7/1b7ce66f6784d1108bf4bb013d009404.jpg
3798;Vertex Standard EVX-R70;/upload/iblock/9ec/9ec05862286d23fac8a70d7b08737a2e.jpg
3799;Vertex Standard VXD-R70;/upload/iblock/06b/06b252b13aa125829ddb113a432ae005.jpg
3808;Vertex Standard VXR-7000;/upload/iblock/7b7/7b7604235e7c560e5dccc700ff83059d.jpg
3809;Vertex Standard VXR-9000;/upload/iblock/c9d/c9d7c0f99a526e630b8a5de9d89d7b6e.jpg
4262;Hytera RD625;/upload/iblock/b44/b44a9f8102a52ae48a24e41cae2c52c8.jpg
4263;Hytera RD985;/upload/iblock/e5e/e5e644817b45e13188aa726d5db8e4d5.jpg
4574;Hytera TR-800;/upload/iblock/074/074f2ed465ca73444501a3a1026da949.jpg
4802;Hytera RD965;/upload/iblock/508/50847174e7436e4286ff840c41a9c822.png
7572;Kenwood TKR-D710E;/upload/iblock/337/3377f95f60231bfe8f036151182917d3.jpg
7573;Kenwood TKR-D810E;/upload/iblock/bd4/bd4b89c0167806fc39445886a1a41bb5.jpg
8274;Kenwood NXR-710K;/upload/iblock/86a/86a856413178287fa461dc882db2d2d1.png
8275;Kenwood NXR-710E;/upload/iblock/8f2/8f2608690244ce8f97e7219e22f19e56.jpg
8276;Kenwood NXR-810K2;/upload/iblock/cb1/cb1eb54863ce04e43e1211f6fd8905ed.jpg
8277;Kenwood NXR-810E;/upload/iblock/5b0/5b0bf3c440e4260aefd86bb7a18ab5f5.jpg
8279;Kenwood NXR-700K;/upload/iblock/80e/80e7eaf823775c0c2efe7e313c0d1c55.jpg
8280;Kenwood NXR-700E;/upload/iblock/246/2462f67c3a70b6581c186cb05466876d.jpg
8281;Kenwood NXR-800K2;/upload/iblock/c8c/c8cdce9681ec632f405eb2a5560d1bbd.jpg
8282;Kenwood NXR-800K3;/upload/iblock/bdf/bdf9e18d07c2421df9c3fc378f373819.jpg
8284;Kenwood NXR-800E;/upload/iblock/a92/a92ad857e9139df9d9f42bb2160ba8f4.jpg
8285;Kenwood NXR-800E3;/upload/iblock/bc3/bc38ac646c801fdbf0c65e177deb4fd9.jpg
8302;Kenwood NXR-800E4;/upload/iblock/3f3/3f3414a05b6ba94ccfd1ebe8b1924d95.jpg
8374;Icom IC-FR5000;/upload/iblock/0b1/0b12965d831e9c381efa28cbc2551852.jpg
8375;Icom IC-FR6000;/upload/iblock/31d/31d667214103c940fda0069f6ceb3dd3.jpg
8417;Kenwood TKR-750K;/upload/iblock/e92/e92462482dca0d2ab8633042036c9bf5.jpg
8418;Kenwood TKR-850K3;/upload/iblock/34d/34dc8d72717761f2295a9d3c2107646b.jpg
8419;Kenwood TKR-850K;/upload/iblock/bc9/bc952b6d3c8e68e1a8b5cf41bbb8b5bb.jpg
8591;Hytera RD985S;/upload/iblock/32e/32e872118f95597dee632da10d83e86e.jpg
8659;Icom IC-FR5000 #33;/upload/iblock/089/089e08055cf3c9cc54e111fc9c3ac7b2.jpg
8660;Icom IC-FR5100;/upload/iblock/00b/00b8f39532feebc48165896bedbe74ff.jpg
8661;Icom IC-FR6000 #33;/upload/iblock/524/5245b0ac3dde8e17280c3844230e2aea.jpg
8662;Icom IC-FR5100 #34;/upload/iblock/5ff/5ff57630700b52c91bd524ad57d10199.jpg
8663;Icom IC-FR5100H;/upload/iblock/8da/8da2ab23605b9f125120d4e152391a99.jpg
8664;Icom IC-FR6100;/upload/iblock/7ae/7aece03bd76695549993a848017d2985.jpg
8665;Icom IC-FR6100 #34;/upload/iblock/78e/78e465e5808632c320dc2e3a5c535fb1.jpg
8666;Icom IC-FR6100H;/upload/iblock/81c/81ce5d45a7975521d2a828b740b551af.jpg
8992;Motorola SLR 5500;/upload/iblock/3dd/3dd3439be34308b61ef18af1823cd4a8.jpg
9467;Optimcom BF-3000;/upload/iblock/b9d/b9d90d95138fee069ead74ccd5863111.jpg
9468;Optimcom BF-2000;/upload/iblock/28f/28ffcc8e3dbf862afe34a58033b8bf93.jpg
9579;Icom IC-FR9010;/upload/iblock/f02/icom_fr9010_fr9020_2014.jpg
9580;Icom IC-FR9020;/upload/iblock/2ce/icom_fr9010_fr9020_2014.jpg
10496;Аргут DR-25 ;/upload/iblock/3d9/argut-dr_25.jpg
10497;Аргут А-701;/upload/iblock/e3a/argut-a_701.png
11086;Optim RT-1;/upload/iblock/745/rt_1-_uhf_.jpg
11712;Icom IC-FC9110;/upload/iblock/743/snimok.jpg
11982;Surecom SR-112 ;/upload/iblock/2af/surecom_sr_112_krest_radiodiapazone_audio_zapis_simpleks_retranslyator_kontroller_s_connect_kabel_dlya_wouxun_quansheng.jpg
11983;Surecom SR-328;/upload/iblock/5e6/328.jpg
11984;Surecom SR-628;/upload/iblock/bd9/41hppgmsy7l._sx355_.jpg
11990;Surecom SR-629;/upload/iblock/30d/surecom_sr629_sr_629_duplex_repeater_controller_with_2pcs_radio_connect_cables_cable_for_options_for.jpg_640x640.jpg
12255;Motorola SLR 8000;/upload/iblock/040/motorola_slr_8000_repeater_1.jpg
12897;ЦРР25-dPMR #1;/upload/iblock/a48/tsifrovoy-dupleksnyy-retranslyator.png
12899;ЦРР25-dPMR #5;/upload/iblock/90c/tsifrovoy-dupleksnyy-retranslyator.png
12900;ЦРР25-DMR #1;/upload/iblock/a17/tsifrovoy-dupleksnyy-retranslyator.png
12903;ЦРР25-DMR #5;/upload/iblock/2f2/tsifrovoy-dupleksnyy-retranslyator.png
13150;Icom IC-FR5200H;/upload/iblock/515/icom-ic_fr5200h.jpg
13152;Icom IC-FR6200H;/upload/iblock/619/icom-ic_fr5200h.jpg
13155;Icom IC-FR5000C;/upload/iblock/f68/icom-ic_fr5000c.jpg
13157;Icom IC-FR6000C;/upload/iblock/cec/icom-ic_fr5000c.jpg
13201;Ajetrays GR8600;/upload/iblock/b6b/bez-nazvaniya.jpg
13335;Motorola SLR 1000;/upload/iblock/76e/004.jpg
13480;Yaesu DR-1X;/upload/iblock/315/dr_1x.jpg
13481;Yaesu DR-2X ;/upload/iblock/bc5/dr_2x.jpg
13942;Alinco RS-D7;/upload/iblock/ed2/rs_d7_1.jpg
13943;Alinco RS-D8;/upload/iblock/4db/rs_d8_1.jpg
14033;Бизон KR100 50 Вт;/upload/iblock/a17/kr100_2.png
14509;Caltta PR900;/upload/iblock/cc6/caltta-pr900.jpg
14511;Caltta PR800;/upload/iblock/fd1/caltta-pr800.jpg
14709;Motorola SLR 5500 300-360 МГц;/upload/iblock/d16/motorola-slr_5500.jpg
14710;Motorola SLR 5500 403-470 МГц;/upload/iblock/873/motorola-slr-5500.jpg
14720;Комбат T-440R DMR;/upload/iblock/1b1/kombat-t440r.jpg
14722;Комбат Т-340R;/upload/iblock/9ca/kombat-t_340r.jpg
14841;Racio RD1000;/upload/iblock/cfd/retranslyator-racio-rd1000.jpg
15286;Бизон KR100P;/upload/iblock/5c5/bizon-kr100p.jpg
15290;Бизон KR100DS VHF/UHF;/upload/iblock/00c/bizon-kr100ds.jpg
15291;Бизон KR100 25В;/upload/iblock/c84/bizon-kr100-25v.jpg
15332;Vostok DR-600 DMR;/upload/iblock/bad/vostok-dr_600-dmr-tier_2.jpg
15333;Vostok RT-10;/upload/iblock/3e8/vostok-rt_10.jpg
15393;Терек РТ-2800;/upload/iblock/3ce/terek-rt_2800.jpg
15395;Терек РТ-9100;/upload/iblock/dd6/terek-rt_9100.jpg
15432;Аргут DR50-DMR VHF;/upload/iblock/01d/argut-dr50_dmr-vhf.png
15434;Аргут DR50-DMR UHF;/upload/iblock/b09/argut-dr50_dmr-uhf.png
17250;Hytera RD985S 100W;/upload/iblock/d29/Hytera-RD985S-100W.JPG
3860;Yeastar MyPBX U520;/upload/iblock/057/057b7eac8464b1c5523e89b0fc19e2d7.jpg
3865;Yeastar MyPBX U510;/upload/iblock/dc9/dc9b9f8d37568eea790080f3cc40f7d6.jpg
3866;Yeastar MyPBX U500;/upload/iblock/4f6/4f6db1226741e45c2cba5ed153741655.jpg
3867;Yeastar MyPBX U300;/upload/iblock/8a8/8a8cc94a86c46de5260407ba28b8091e.jpg
3868;Yeastar MyPBX U200;/upload/iblock/031/0316a313d063b4ebc49bc364e615d633.jpg
3869;Yeastar MyPBX U100;/upload/iblock/716/716455b075efe0a816f4aae44ef434f6.jpg
3870;Yeastar MyPBX Standard;/upload/iblock/7f9/7f91f892573e799bc66c9d4d27b2a084.jpg
3871;Yeastar MyPBX SOHO;/upload/iblock/833/833dcdf51167eae53ae051c5165aba0e.jpg
4091;Grandstream UCM6102;/upload/iblock/8f6/8f6a36bdffa690fb4bbec9068f6ee489.png
4096;Grandstream UCM6104;/upload/iblock/3d5/3d5b8d84f88ef4b900c3cce60efb9b54.png
4099;Grandstream UCM6108;/upload/iblock/57c/57cf558cc16fba26454f8b11b4480299.jpg
4307;Panasonic KX-NCP1000RU;/upload/iblock/464/464d4e845f031d6c97a2c6af14bca3b2.jpg
4308;Panasonic KX-NCP500RU;/upload/iblock/50a/50aae49d19f268054c23f408ca1e4d86.jpg
4309;Panasonic KX-TDE100RU;/upload/iblock/157/1572de8c64af5340bb71da65dcefac54.jpg
4310;Panasonic KX-TDE200RU;/upload/iblock/e26/e269eed1cd12b54e3d834246f1471411.jpg
