IE_XML_ID|IE_NAME|IE_DETAIL_PICTURE
5172|Hytera PCN005|/upload/iblock/f20/f202e4fa496ef548df725077b459499d.png
7859|Kenwood TK-7100M|/upload/iblock/cb7/kenwood-tk_7100m.jpg
7956|Diamond MC200|/upload/iblock/18c/18cada7da2824cbdbeec23eb478b732e.JPG
3761|Motorola DR3000(1-25W)|/upload/iblock/e4b/e4b702f1b144f3240e72f488fca6c450.jpg
3762|Motorola DR3000(25-45W)|/upload/iblock/3fd/3fd70b57cf7dcb10c34a772eb4938f15.jpg
3763|Motorola DR3000(1-40W)|/upload/iblock/999/99961162beed77eccdebfafe89780d1e.jpg
3764|Motorola MTR3000|/upload/iblock/4e0/4e07a1e7127bf7d5fb5189bb9b4bfb74.jpg
3798|Vertex Standard EVX-R70|/upload/iblock/a79/a79738fb21f6fdaef46051a94dc3f3d2.jpg
3799|Vertex Standard VXD-R70|/upload/iblock/d9e/d9eade01b1fb9dbcbab49fc58cafb6d4.jpg
3808|Vertex Standard VXR-7000|/upload/iblock/8a5/8a54c73aa5a28cc97b0f23f25782907d.jpg
3809|Vertex Standard VXR-9000|/upload/iblock/44d/44d991f015a64cf3dac30f4695a2ea76.jpg
4262|Hytera RD625|/upload/iblock/ed7/ed75e0e25012b0551930e880fddf92ca.jpg
4263|Hytera RD985|/upload/iblock/6b0/6b06b07b6793fe79f3545bfe189529d7.jpg
4574|Hytera TR-800|/upload/iblock/55f/55f59e3c8c8e7355b88aff3cfc3c754c.jpg
4802|Hytera RD965|/upload/iblock/983/983fcaeaa56d96fbf198f05bb2baad10.png
7572|Kenwood TKR-D710E|/upload/iblock/049/049fcb682a40e0437ad2e7e712a77635.jpg
7573|Kenwood TKR-D810E|/upload/iblock/e63/e630dd59707cc3ecb9f8d81f551dcc54.jpg
8274|Kenwood NXR-710K|/upload/iblock/499/4997788c09d4db5d4c726b4f43ea53d6.png
8275|Kenwood NXR-710E|/upload/iblock/2b6/2b6b37f8f8c0d488baf726338a6424cf.jpg
8276|Kenwood NXR-810K2|/upload/iblock/892/892c7fca88028dc0d2bceff23bfe6c61.jpg
8277|Kenwood NXR-810E|/upload/iblock/a95/a95dc02af23ac8d6342d69b86c26dd06.jpg
8279|Kenwood NXR-700K|/upload/iblock/f11/f11818f7eab6a44c1e751eaf2a372a0f.jpg
8280|Kenwood NXR-700E|/upload/iblock/8df/8dfcb2bb1de0f06e90a463f896fc9184.jpg
8281|Kenwood NXR-800K2|/upload/iblock/07a/07a5b65759e4232e55e7432438c0f54c.jpg
8282|Kenwood NXR-800K3|/upload/iblock/2e2/2e211084eae17d233048985c9270c73d.jpg
8284|Kenwood NXR-800E|/upload/iblock/46a/46a9917becf086724738ced2faed135c.jpg
8285|Kenwood NXR-800E3|/upload/iblock/374/3744eca2823ded468f6ea028129577eb.jpg
8302|Kenwood NXR-800E4|/upload/iblock/ba3/ba3f410a2e029af4350622793e830baf.jpg
8374|Icom IC-FR5000|/upload/iblock/745/745f979cca256d4b0bd331d001f3a3da.jpg
8375|Icom IC-FR6000|/upload/iblock/d7b/d7b7b67c2ee3ecc7c05e9cb14eeaafb7.jpg
8417|Kenwood TKR-750K|/upload/iblock/3e9/3e99ed761b0c57e290f572ff277d19cf.jpg
8418|Kenwood TKR-850K3|/upload/iblock/dff/dff89f4f1595bceaab1122fb6663e9c5.jpg
8419|Kenwood TKR-850K|/upload/iblock/263/263784b2a857b6b80169f107eab1037f.jpg
8591|Hytera RD985S|/upload/iblock/53f/53f76c87894f4a5290226ff29f1efa11.jpg
8659|Icom IC-FR5000 #33|/upload/iblock/f36/f3664c14e0afb898a3f8fc4998fa0368.jpg
8660|Icom IC-FR5100|/upload/iblock/458/458b649adeb55ba41ea249238e392df1.jpg
8661|Icom IC-FR6000 #33|/upload/iblock/384/384ee2b7294a5beaff02b132ff70b6dd.jpg
8662|Icom IC-FR5100 #34|/upload/iblock/716/7167642317c843e8826bd2fb14444e14.jpg
8663|Icom IC-FR5100H|/upload/iblock/009/009e02c24ab790e4bd484856380e3248.jpg
8664|Icom IC-FR6100|/upload/iblock/395/395ff57714ba7680478fa3b21f95b79c.jpg
8665|Icom IC-FR6100 #34|/upload/iblock/835/835034a89599f0e8db288b562e575021.jpg
8666|Icom IC-FR6100H|/upload/iblock/5b5/5b56c3e5d7b842f469b48d59858e1d24.jpg
8992|Motorola SLR 5500|/upload/iblock/c44/c445e0f2237298f279850c0d09cb9aeb.jpg
9467|Optimcom BF-3000|/upload/iblock/e7c/e7c597aeb851676c02b0ffbfcb1ded42.jpg
