IE_XML_ID;IE_NAME;CP_QUANTITY;CV_PRICE_1
49729;Motorola DM1400;6;27285.00
260;Тестовый товар;10;10.00
383;Motorola DM1600;6;31833.00
384;Motorola DP1400 analog;6;18207.00
385;Motorola DP1400;6;24310.00
386;Hytera RD985;6;2617.00
387;Hytera RD985S;6;3058.00
388;Alinco DX-SR-08;6;84000.00
389;Alinco DX-SR-09;6;95000.00
390;Optim ML-145 Strong;6;31.00
391;Alinco EA-145;6;3100.00
392;Vector HM-44;6;31.62
393;Alinco EBP-58N;6;4400.00
394;Блок питания АРГУТ;6;11858.00
395;Alinco EMS-53;6;3300.00
396;Grandstream GAC2500;6;499.00
397;Grandstream DP750;6;55.00
398;Grandstream UCM6510;6;1243.00
399;Yeastar S50;6;639.00
400;Grandstream GXV-3672 HD 36;6;195.58
401;Grandstream GXV-3610 HD;6;108.70
402;Grandstream GVC3200;6;3900.00
3994;Yaesu VX-6R;0;21075.00
15470;Vostok ST-73;0;4950.00
13824;Vostok ST-71;0;6390.00
15468;Vostok ST-58;0;3900.00
7245;Vostok ST-55;0;6950.00
11387;Vostok ST-52;0;4500.00
7247;Vostok ST-31;0;2850.00
15329;Vostok ST-203K;0;11400.00
15328;Vostok ST-203;0;10290.00
12470;Vostok ST-101DW;0;8640.00
6487;Vostok ST-101;0;8150.00
11251;Vector VT-80 ST;0;106.08
11249;Vector VT-80 F;0;61.20
8210;Vector VT-67 S;0;91.80
11774;Vector VT-50 MTR;0;76.50
11772;Vector VT-50 ML;0;86.70
8215;Vector VT-44 TURBO;0;93.84
3823;Vector VT-44 PRO;0;163.20
8220;Vector VT-44 Military (body);0;111.18
3838;Vector VT-44 Military #03;0;147.90
3834;Vector VT-44 HS;0;66.30
8217;Vector VT-44 H #V;0;89.76
3835;Vector VT-44 H;0;92.82
11250;Vector VT-43 H2;0;92.82
10102;TurboSky T9;0;2990.00
10101;TurboSky T8;0;3250.00
10100;TurboSky T7;0;4950.00
10099;TurboSky T6;0;4950.00
10098;TurboSky T5;0;7450.00
10096;TurboSky T4;0;6750.00
10095;TurboSky T3;0;5650.00
14046;TurboSky T2;0;6450.00
15321;Терек Спорт;0;2660.00
13634;Терек РК-501;0;13650.00
13609;Терек РК-401;0;9040.00
15388;Терек РК-322 DMR PRO;0;15120.00
15389;Терек РК-322 DMR GPS;0;18110.00
13608;Терек РК-322 DMR;0;15550.00
13606;Терек РК-322-2Д;0;8380.00
13600;Терек РК-301;0;7250.00
13629;Терек РК-222;0;5290.00
15146;Терек РК-212 Military;0;6280.00
13605;Терек РК-202;0;5100.00
13598;Терек РК-201;0;4530.00
13633;Терек РК-102;0;2815.00
15376;Терек РК-101;0;3395.00
13632;Терек РЕСТО;0;2075.00
14408;Roger KP-57;0;4900.00
14822;Racio R900 VHF;0;8990.00
14821;Racio R900 UHF;0;8990.00
15169;Racio R810;0;12690.00
14814;Racio R800;0;10990.00
14813;Racio R700;0;6590.00
16002;Racio R620;0;4290.00
14810;Racio R610;0;6190.00
14809;Racio R500;0;6590.00
14808;Racio R300 VHF;0;6190.00
14807;Racio R300 UHF;0;6190.00
14806;Racio R210;0;4890.00
14805;Racio R110;0;4390.00
14804;Racio R100;0;3790.00
15397;Motorola XT665d;0;13430.00
11327;Motorola XT460;0;13430.00
11325;Motorola XT420;0;12500.00
15394;Motorola XT225;0;14220.00
8093;Motorola VX-261;0;15450.00
15398;Motorola TLKR T50;0;4266.00
14907;Motorola TalkAbout T82;0;6952.00
15400;Motorola Talkabout T62 RED;0;4819.00
13368;Motorola TALKABOUT T42 (triple);0;3713.00
13369;Motorola TALKABOUT T42 (red);0;2528.00
15399;Motorola Talkabout T42 QUAD;0;4898.00
10763;Motorola SL4010E;0;69394.85
10761;Motorola SL4010E;0;55024.75
14128;Motorola SL2600;0;37562.35
9368;Motorola SL1600;0;31832.50
9880;Motorola EVX-S24;0;21828.00
