IE_XML_ID;IE_NAME
49729;Motorola DM1400
260;Тестовый товар
383;Motorola DM1600
384;Motorola DP1400 analog
385;Motorola DP1400
386;Hytera RD985
387;Hytera RD985S
388;Alinco DX-SR-08
389;Alinco DX-SR-09
390;Optim ML-145 Strong
391;Alinco EA-145
392;Vector HM-44
393;Alinco EBP-58N
394;Блок питания АРГУТ
395;Alinco EMS-53
396;Grandstream GAC2500
397;Grandstream DP750
398;Grandstream UCM6510
399;Yeastar S50
400;Grandstream GXV-3672 HD 36
401;Grandstream GXV-3610 HD
402;Grandstream GVC3200
3994;Yaesu VX-6R
15470;Vostok ST-73
13824;Vostok ST-71
15468;Vostok ST-58
7245;Vostok ST-55
11387;Vostok ST-52
7247;Vostok ST-31
15329;Vostok ST-203K
15328;Vostok ST-203
12470;Vostok ST-101DW
6487;Vostok ST-101
11251;Vector VT-80 ST
11249;Vector VT-80 F
8210;Vector VT-67 S
11774;Vector VT-50 MTR
11772;Vector VT-50 ML
8215;Vector VT-44 TURBO
3823;Vector VT-44 PRO
8220;Vector VT-44 Military (body)
3838;Vector VT-44 Military #03
3834;Vector VT-44 HS
8217;Vector VT-44 H #V
3835;Vector VT-44 H
11250;Vector VT-43 H2
10102;TurboSky T9
10101;TurboSky T8
10100;TurboSky T7
10099;TurboSky T6
10098;TurboSky T5
10096;TurboSky T4
10095;TurboSky T3
14046;TurboSky T2
15321;Терек Спорт
13634;Терек РК-501
13609;Терек РК-401
15388;Терек РК-322 DMR PRO
15389;Терек РК-322 DMR GPS
13608;Терек РК-322 DMR
13606;Терек РК-322-2Д
13600;Терек РК-301
13629;Терек РК-222
15146;Терек РК-212 Military
13605;Терек РК-202
13598;Терек РК-201
13633;Терек РК-102
15376;Терек РК-101
13632;Терек РЕСТО
14408;Roger KP-57
14822;Racio R900 VHF
14821;Racio R900 UHF
15169;Racio R810
14814;Racio R800
14813;Racio R700
16002;Racio R620
14810;Racio R610
14809;Racio R500
14808;Racio R300 VHF
14807;Racio R300 UHF
14806;Racio R210
14805;Racio R110
14804;Racio R100
15397;Motorola XT665d
11327;Motorola XT460
11325;Motorola XT420
15394;Motorola XT225
8093;Motorola VX-261
15398;Motorola TLKR T50
14907;Motorola TalkAbout T82
15400;Motorola Talkabout T62 RED
13368;Motorola TALKABOUT T42 (triple)
13369;Motorola TALKABOUT T42 (red)
15399;Motorola Talkabout T42 QUAD
10763;Motorola SL4010E
10761;Motorola SL4010E
14128;Motorola SL2600
9368;Motorola SL1600
9880;Motorola EVX-S24
10752;Motorola DP4801E TIA
12062;Motorola DP4801E
3760;Motorola DP4801 Ex
10746;Motorola DP4800E TIA
12059;Motorola DP4800E
10745;Motorola DP4601E TIA
12061;Motorola DP4601E
10744;Motorola DP4600E TIA
12058;Motorola DP4600E
10742;Motorola DP4401E TIA
12060;Motorola DP4401E
3759;Motorola DP4401 Ex
10741;Motorola DP4400E TIA
12056;Motorola DP4400E
12051;Motorola DP3661E TIA
12050;Motorola DP3661E
10759;Motorola DP3441E TIA
12048;Motorola DP3441E
10736;Motorola DP2600E TIA
12054;Motorola DP2600E
10735;Motorola DP2400E TIA
12053;Motorola DP2400E
15404;Motorola CLP446 Bluetooth
15403;Motorola CLP446
15402;Motorola CLK446
13501;Комбат Т-44 Старт
13500;Комбат Т-44 Мастер
9696;Комбат Т-34 Старт 3
12115;Комбат Т-34 Старт 2
9701;Комбат Т-34 Патруль
9699;Комбат Т-34 Милитари
9697;Комбат Т-34 Мастер 3
12117;Комбат Т-34 Мастер 2
12114;Комбат Т-24 Старт
12116;Комбат Т-24 Мастер
8456;Kenwood TK-380K4
8455;Kenwood TK-380K
7569;Kenwood TK-3501E
4051;Kenwood TK-3407M2
4052;Kenwood TK-3406M2
7568;Kenwood TK-3401DE
4078;Kenwood TK-3360M
8460;Kenwood TK-3317M4
4075;Kenwood TK-3317M2
