IE_XML_ID;IE_NAME;IE_CODE
3859;Добро пожаловать на сайт landcomm.ru!;dobro-pozhalovat-na-sayt-landcomm-ru
3975;Yealink анонсировала новый IP телефон SIP-T48G;yealink-anonsirovala-novyy-ip-telefon-sip-t48g
3986;Поздравляем с 70 юбилеем снятия блокады!;pozdravlyaem-s-70-yubileem-snyatiya-blokady
4057;IP телефоны Fanvil;ip-telefony-fanvil
4123;Новинки на выставке CeBIT: Yealink CP860, MyPBX SOHO и Standard;novinki-na-vystavke-cebit-yealink-cp860-mypbx-soho-i-standard
4144;Escene ES292 - хит продаж;escene-es292-khit-prodazh
4155;Новый аккумулятор MotoTRBO DP4000 для низких температур;novyy-akkumulyator-mototrbo-dp4000-dlya-nizkikh-temperatur
4246;Новый рубеж!;novyy-rubezh
4250;Многопортовые аналоговые и GSM-шлюзы от Yeastar;mnogoportovye-analogovye-i-gsm-shlyuzy-ot-yeastar
4311;IP-видеокамеры Milesight;ip-videokamery-milesight
4315;IP-АТС и IP-телефоны Panasonic;ip-ats-i-ip-telefony-panasonic
4320;Новые недорогие радиостанции Mototrbo от Motorola;novye-nedorogie-radiostantsii-mototrbo-ot-motorola
4340;Портативные радиостанции АРГУТ;portativnye-radiostantsii-argut
4349;Портативные радиостанции Midland;portativnye-radiostantsii-midland
4352;Приложение M-Sight для iOS и Android для IP камер Milesight;prilozhenie-m-sight-dlya-ios-i-android-dlya-ip-kamer-milesight
4399;Запуск производства IP-телефонов Cisco в России;zapusk-proizvodstva-ip-telefonov-cisco-v-rossii
4527;Многофункциональные SIP-телефоны AudioCodes;mnogofunktsionalnye-sip-telefony-audiocodes
4664;Новый видеотелефон от Grandstream;novyy-videotelefon-ot-grandstream
4717;Аutoprovision на станциях MyPBX для SIP-телефонов Panasonic;autoprovision-na-stantsiyakh-mypbx-dlya-sip-telefonov-panasonic
4775;Серия VoIP-шлюзов от Digium;seriya-voip-shlyuzov-ot-digium
4915;"Дуплексеры от компании ""Радиал""";dupleksery-ot-kompanii-radial
4946;Поддержка SIP для камер Milesight;podderzhka-sip-dlya-kamer-milesight
4952;Телефон Yealink SIP-T48G прошел тесты на совместимость с 3CX;telefon-yealink-sip-t48g-proshel-testy-na-sovmestimost-s-3cx
4995;Hytera станет поставщиком средств радиосвязи на Юношеских Олимпийских играх;hytera-stanet-postavshchikom-sredstv-radiosvyazi-na-yunosheskikh-olimpiyskikh-igrakh
5021;6-я серия IP-видеокамер от Panasonic;6-ya-seriya-ip-videokamer-ot-panasonic
5035;Новый IP-телефон Fanvil X3 ;novyy-ip-telefon-fanvil-x3-
5036;Новый IP-телефон Fanvil X5;novyy-ip-telefon-fanvil-x5
5127;Panasonic завершила тестирование новой IP-АТС ;panasonic-zavershila-testirovanie-novoy-ip-ats-
5132;Yealink добавит голосовую платформу Teliax в настольные IP-телефоны;yealink-dobavit-golosovuyu-platformu-teliax-v-nastolnye-ip-telefony
5295;Компания Ajetrays выпустила новый беспроводный микрофон и репитер;kompaniya-ajetrays-vypustila-novyy-besprovodnyy-mikrofon-i-repiter
5335;Телефоны Escene для  IP АТС Агат UX;telefony-escene-dlya-ip-ats-agat-ux
5338;Гарнитуры Platronics для телефонов Escene;garnitury-platronics-dlya-telefonov-escene
5345;"Изменился адрес офиса ""Маринэк"" в Санкт-Петербурге";izmenilsya-adres-ofisa-marinek-v-sankt-peterburge
5346;"Открылся пункт выдачи ""Маринэк"" в Москве";otkrylsya-punkt-vydachi-marinek-v-moskve
5360;Осенние скидки от Агат-РТ;osennie-skidki-ot-agat-rt
5435;Конференция V-WAVE: новости от Vertex из рук;konferentsiya-v-wave-novosti-ot-vertex-iz-ruk
5970;Радиостанция Бизон КТ 85;radiostantsiya-bizon-kt-85
5984;Вышла первая IP-камера с поддержкой Wi-Fi 802.11ac;vyshla-pervaya-ip-kamera-s-podderzhkoy-wi-fi-802-11ac
6030;"Новинка! Устройство ""клиент-кассир"" с записью переговоров!";novinka-ustroystvo-klient-kassir-s-zapisyu-peregovorov
6059;VoIP-PRI шлюз Yeastar NeoGate TE200;voip-pri-shlyuz-yeastar-neogate-te200
6084;В продажу поступила AJETRAYS- AR-436;v-prodazhu-postupila-ajetrays-ar-436
6141;Новая линейка профессиональных гарнитур Plantronics EncorePro 500;novaya-lineyka-professionalnykh-garnitur-plantronics-encorepro-500
6153;В продажу поступили радиостанции Бизон;v-prodazhu-postupili-radiostantsii-bizon
6189;Yealink объявила о старте продаж офисных IP-телефонов SIP-T23P и SIP-T23G;yealink-obyavila-o-starte-prodazh-ofisnykh-ip-telefonov-sip-t23p-i-sip-t23g
6195;Новые телефоны Yealink прошли тест на совместимость с платформой PortaSwitch;novye-telefony-yealink-proshli-test-na-sovmestimost-s-platformoy-portaswitch
6196;В продажу поступили продукты и решения от Commend;v-prodazhu-postupili-produkty-i-resheniya-ot-commend
6281;Konftel представил первый конференц-телефон с PoE;konftel-predstavil-pervyy-konferents-telefon-s-poe
6573;C новым 2015 годом!;c-novym-2015-godom
6682;Терминалы Commend EE8000 для тяжелой промышленности;terminaly-commend-ee8000-dlya-tyazheloy-promyshlennosti
6685;Новинка 2015 года! GSM 3G модем iRZ TU41;novinka-2015-goda-gsm-3g-modem-irz-tu41
6753;Intelligent Volume Control от Commend;intelligent-volume-control-ot-commend
6755;Новинка! IP-телефон Yealink SIP-T29G;novinka-ip-telefon-yealink-sip-t29g
7056;Поступление новинок от Fanvil;postuplenie-novinok-ot-fanvil
7122;Профессиональные радиостанции ABELL;professionalnye-radiostantsii-abell
7160;Yealink представит решения для предприятий на Channel Partners 2015;yealink-predstavit-resheniya-dlya-predpriyatiy-na-channel-partners-2015
7226;Бюджетные SIP-телефоны T23P и T23G от Yealink;byudzhetnye-sip-telefony-t23p-i-t23g-ot-yealink
7238;Промышленные роутеры iRZ R4;promyshlennye-routery-irz-r4
7292;Новинки Kenwood: портативные радиостанции NEXEDGE и PKT-03;novinki-kenwood-portativnye-radiostantsii-nexedge-i-pkt-03
7334;Совместимость системы связи IP-GUINAZ с IP-АТС;sovmestimost-sistemy-svyazi-ip-guinaz-s-ip-ats
7476;GUINAZ расширяет свое присутствие в Дубае;guinaz-rasshiryaet-svoe-prisutstvie-v-dubae
7717;Вызывные панели со встроенным контролем доступа от GUINAZ;vyzyvnye-paneli-so-vstroennym-kontrolem-dostupa-ot-guinaz
7766;Новый IP телефон GXP 1628 от Grandstream;novyy-ip-telefon-gxp-1628-ot-grandstream
7812;Новинка! IP DECT решение RTX 9430;novinka-ip-dect-reshenie-rtx-9430
7833;Обновление ПО для панелей Commend SIP 3.4;obnovlenie-po-dlya-paneley-commend-sip-3-4
7854;Аналоговые рации Motorola серий GP, GM, CP, CM сняты с производства;analogovye-ratsii-motorola-seriy-gp-gm-cp-cm-snyaty-s-proizvodstva
7869;"Представительство ""Маринэк"" в республике Карелия";predstavitelstvo-marinek-v-respublike-kareliya
7891;Наши представители в Калининграде;nashi-predstaviteli-v-kaliningrade
7967;Новинки GUINAZ: вызывные панели для СКУД;novinki-guinaz-vyzyvnye-paneli-dlya-skud
8048;Акция! Снижение цен на видеотелефоны Fanvil;aktsiya-snizhenie-tsen-na-videotelefony-fanvil
8049;IP телефоны Yealink SIP-T21 и SIP-T21P сняты с производства;ip-telefony-yealink-sip-t21-i-sip-t21p-snyaty-s-proizvodstva
8286;Обновление ПО для IP-АТС Yeastar;obnovlenie-po-dlya-ip-ats-yeastar
8287;Анонс IP-камер Milesight;anons-ip-kamer-milesight
8457;Контрафактная рация Vertex VX-231: как отличить подделку;kontrafaktnaya-ratsiya-vertex-vx-231-kak-otlichit-poddelku
8480;Акция! Номер 8-800 в подарок!;aktsiya-nomer-8-800-v-podarok
8481;Акция! Прямой городской номер в подарок!;aktsiya-pryamoy-gorodskoy-nomer-v-podarok
8755;Умная АТС Yeastar N824 для малого бизнеса;umnaya-ats-yeastar-n824-dlya-malogo-biznesa
8941;Новейшие взрывозащищенные радиостанции MTR8550Ex / MTR8500Ex в портфеле TETRA;noveyshie-vzryvozashchishchennye-radiostantsii-mtr8550ex-mtr8500ex-v-portfele-tetra
8993;Ретранслятор нового поколения MOTOROLA SLR5500;retranslyator-novogo-pokoleniya-motorola-slr5500
9062;ATM CONTROL – программное обеспечение для модемов iRZ;atm-control-programmnoe-obespechenie-dlya-modemov-irz
9067;Си-Би рации, радиостанции и антенны MegaJet  доступны в нашем каталоге!;si-bi-ratsii-radiostantsii-i-antenny-megajet-dostupny-v-nashem-kataloge
9157;Новые VoIP-шлюзы YEASTAR TA100, TA200 в нашем каталоге!;novye-voip-shlyuzy-yeastar-ta100-ta200-v-nashem-kataloge
9174; SIP-домофоны  ITS поступили в продажу;sip-domofony-its-postupili-v-prodazhu
9261;IP-телефоны бизнес-класса Yealink T2 полностью совместимы с программной АТС 3CX Phone System;ip-telefony-biznes-klassa-yealink-t2-polnostyu-sovmestimy-s-programmnoy-ats-3cx-phone-system
9290;Новинки от Yealink – системы видеоконференцсвязи SIP VP-T49G и Yealink VC110!;novinki-ot-yealink-sistemy-videokonferentssvyazi-sip-vp-t49g-i-yealink-vc110
9312;Новинка! IP-телефон Snom D765 с цветным дисплеем в нашем Интернет-магазине;novinka-ip-telefon-snom-d765-s-tsvetnym-displeem-v-nashem-internet-magazine
9317;Специальное предложение! SIP-телефон Yealink SIP-T19P по цене SIP-T19;spetsialnoe-predlozhenie-sip-telefon-yealink-sip-t19p-po-tsene-sip-t19
9320;Новинка в нашем каталоге - модуль расширения Yealink EXP20!;novinka-v-nashem-kataloge-modul-rasshireniya-yealink-exp20
9325;Новинка! Контроллер для цифровых радиостанций - EVX-Link;novinka-kontroller-dlya-tsifrovykh-radiostantsiy-evx-link
9332;Новинка N-серии Yeastar – гибридная IP-АТС N1;novinka-n-serii-yeastar-gibridnaya-ip-ats-n1
9342;Новинка 2015 года: SMS-информатор iRZ TU41-SMS на базе GSM/3G-модема;novinka-2015-goda-sms-informator-irz-tu41-sms-na-baze-gsm-3g-modema
9354;Обновлено программное обеспечение встроенное для роутеров iRZ серии R4;obnovleno-programmnoe-obespechenie-vstroennoe-dlya-routerov-irz-serii-r4
9456;Теперь 3 года гарантии на все устройства iRZ;teper-3-goda-garantii-na-vse-ustroystva-irz
9474;Новинка! Взрывозащищенные цифровые радиостанции Vertex;novinka-vzryvozashchishchennye-tsifrovye-radiostantsii-vertex
9475;Новая аккумуляторная батарея для рации Vertex Standard VZ-9;novaya-akkumulyatornaya-batareya-dlya-ratsii-vertex-standard-vz-9
9486;Возвращение радиостанций Аргут А-44 и Аргут А-45;vozvrashchenie-radiostantsiy-argut-a-44-i-argut-a-45
9488;Новинка! IP конференц-телефон Grandstream GAC2500;novinka-ip-konferents-telefon-grandstream-gac2500
9497;Yealink награжден премией от журнала Internet Telephony;yealink-nagrazhden-premiey-ot-zhurnala-internet-telephony
9512;Новинка! Носимая радиостанция Янтарь-Н;novinka-nosimaya-radiostantsiya-yantar-n
9535;Новинка! IP-монитор GUINAZ IP-SIP SMARTIVE 7’’ в великолепной жемчужно-белой рамке;novinka-ip-monitor-guinaz-ip-sip-smartive-7-v-velikolepnoy-zhemchuzhno-beloy-ramke
9695;Новинка от Yealink - ПО для видеоконференций;novinka-ot-yealink-po-dlya-videokonferentsiy
9715;IP-телефоны Yealink линейки T4 получили новое программное обеспечение;ip-telefony-yealink-lineyki-t4-poluchili-novoe-programmnoe-obespechenie
9721;4 IP-телефона в ПОДАРОК при покупке шлюза;4-ip-telefona-v-podarok-pri-pokupke-shlyuza
9755;Совместимость вызывных панелей IP GUINAZ с IP-АТС ASTERISK;sovmestimost-vyzyvnykh-paneley-ip-guinaz-s-ip-ats-asterisk
9826;Новинки радиостанций KENWOOD;novinki-radiostantsiy-kenwood
9827;Как отличить рацию KENWOOD от подделки;kak-otlichit-ratsiyu-kenwood-ot-poddelki
9832;Новинки от VERTEX: две радиостанции к 60-летию компании;novinki-ot-vertex-dve-radiostantsii-k-60-letiyu-kompanii
9900;Новинка 2016 года: Модем iRZ TU42-232 с поддержкой JAVA;novinka-2016-goda-modem-irz-tu42-232-s-podderzhkoy-java
9935;PoE-коммутатор в подарок при покупке IP-телефонов Yealink;poe-kommutator-v-podarok-pri-pokupke-ip-telefonov-yealink
9941;Обновление прошивки для роутеров iRZ серии R4 ;obnovlenie-proshivki-dlya-routerov-irz-serii-r4-
9943;Линейка IP-телефонов Escene US102 сменяется линейкой Escene ES206;lineyka-ip-telefonov-escene-us102-smenyaetsya-lineykoy-escene-es206
9971;Новая серия IP-телефонов Grandstream совместима с платформой BroadSoft;novaya-seriya-ip-telefonov-grandstream-sovmestima-s-platformoy-broadsoft
9997;Новая ATEX рация Hytera PD715 Ex;novaya-atex-ratsiya-hytera-pd715-ex
10005;Новый 4G/LTE-модем iRZ TL12;novyy-4g-lte-modem-irz-tl12
10080;Маринэк - официальный Интернет-реселлер Yealink;marinek-ofitsialnyy-internet-reseller-yealink
10155;Новый любительский КВ-трансивер Icom IC-7300;novyy-lyubitelskiy-kv-transiver-icom-ic-7300
10163;Телефоны компании YEALINK SIP-T46G и SIP-T42G получили сертификацию Microsoft;telefony-kompanii-yealink-sip-t46g-i-sip-t42g-poluchili-sertifikatsiyu-microsoft
10164;Сетевые технологии Avaya становятся все более популярными;setevye-tekhnologii-avaya-stanovyatsya-vse-bolee-populyarnymi
10170;Новое постановление Минкомсвязи не затронет IP-телефонию;novoe-postanovlenie-minkomsvyazi-ne-zatronet-ip-telefoniyu
10195;Yealink готова представить новейшую систему видеоконференцсвязи VC120-12X;yealink-gotova-predstavit-noveyshuyu-sistemu-videokonferentssvyazi-vc120-12x
10202;IP-телефоны Yealink совместимы с платформами и сервисами Genband;ip-telefony-yealink-sovmestimy-s-platformami-i-servisami-genband
10248;GUINAZ представит новые IP-домофоны на лондонской выставке IFSEC;guinaz-predstavit-novye-ip-domofony-na-londonskoy-vystavke-ifsec
10280;Новые носимые и мобильные профессиональные радиостанции Kenwood Nexedge серии NX-5000;novye-nosimye-i-mobilnye-professionalnye-radiostantsii-kenwood-nexedge-serii-nx-5000
10291;Партнерство Yealink и TrueConf ведет к совместимости оборудования и ПО;partnerstvo-yealink-i-trueconf-vedet-k-sovmestimosti-oborudovaniya-i-po
10321;Новые DMR рации KENWOOD: TK-D240/D340 и TK-D740/D840 ;novye-dmr-ratsii-kenwood-tk-d240-d340-i-tk-d740-d840-
10490;Новая гибридная АТС Yeastar N412;novaya-gibridnaya-ats-yeastar-n412
10515;Yeastar запускает новую S-серию VoIP-АТС  для малых и средних предприятий;yeastar-zapuskaet-novuyu-s-seriyu-voip-ats-dlya-malykh-i-srednikh-predpriyatiy
10575;Yeastar S100 и Yeastar S300 - новые гибридные IP-АТС;yeastar-s100-i-yeastar-s300-novye-gibridnye-ip-ats
10576;Изменение гарантийных сроков на некоторое IP-оборудование Yeastar;izmenenie-garantiynykh-srokov-na-nekotoroe-ip-oborudovanie-yeastar
10586;Новинка – DECT SIP-телефон Yealink W56P;novinka-dect-sip-telefon-yealink-w56p
10597;Портативная радиостанция VERTEX VZ-30 поступила в продажу;portativnaya-radiostantsiya-vertex-vz-30-postupila-v-prodazhu
10740;Hytera выиграла тендер на обеспечение радиосвязью делегации ЕС по всему миру;hytera-vyigrala-tender-na-obespechenie-radiosvyazyu-delegatsii-es-po-vsemu-miru
10753;Взрывозащищенные радиостанции Mototrbo серии Е получили сертификат стандарта TIA;vzryvozashchishchennye-radiostantsii-mototrbo-serii-e-poluchili-sertifikat-standarta-tia
10775;VoIP АТС Yeastar S-серии предлагают автонастройку для телефонов Snom;voip-ats-yeastar-s-serii-predlagayut-avtonastroyku-dlya-telefonov-snom
10786;Новые модели компактных высокоскоростных роутеров iRZ;novye-modeli-kompaktnykh-vysokoskorostnykh-routerov-irz
10787;Новая бюджетная цифровая радиостанция Lira  DP-200 DMR;novaya-byudzhetnaya-tsifrovaya-radiostantsiya-lira-dp-200-dmr
10791;Yealink SIP VP-T49G - лучшее коммуникационное решение года по версии TMC;yealink-sip-vp-t49g-luchshee-kommunikatsionnoe-reshenie-goda-po-versii-tmc
10793;Новая портативная DMR радиостанция Hytera PD 985 ;novaya-portativnaya-dmr-radiostantsiya-hytera-pd-985-
10906;IP-АТС Yeastar S-серии теперь совместимы с Битрикс24 ;ip-ats-yeastar-s-serii-teper-sovmestimy-s-bitriks24-
10910;Новое мобильное приложение Yealink VC Mobile;novoe-mobilnoe-prilozhenie-yealink-vc-mobile
10952;Новейшая корпоративная платформа Avaya Equinox;noveyshaya-korporativnaya-platforma-avaya-equinox
10953;Вышла новая версия платформы Avaya IP Office ;vyshla-novaya-versiya-platformy-avaya-ip-office-
10954;Новая сетевая ОС от Avaya (Авайя);novaya-setevaya-os-ot-avaya-avayya
11081;Сотрудничество Yealink и Vinteo;sotrudnichestvo-yealink-i-vinteo
11152;Yeastar Linkus: IP-телефония в мобильном устройстве;yeastar-linkus-ip-telefoniya-v-mobilnom-ustroystve
11169;Радиостанция Vertex EVX-261 поступила в продажу;radiostantsiya-vertex-evx-261-postupila-v-prodazhu
11214;SIP-видеотелефон Panasonic KX-HDV430;sip-videotelefon-panasonic-kx-hdv430
11216;Vertex Standard  на PMREXPO 2016;vertex-standard-na-pmrexpo-2016
11243;Обновленное ПО для GSM роутера iRZ RUH3;obnovlennoe-po-dlya-gsm-routera-irz-ruh3
11283;Cовсем скоро: новая линейка радиостанций Hytera Business Digital;covsem-skoro-novaya-lineyka-radiostantsiy-hytera-business-digital
11291;Новый порядок организации экспертизы применения РЭС ;novyy-poryadok-organizatsii-ekspertizy-primeneniya-res-
11323;Новые рации Motorola серии XT400 стандарта PMR446;novye-ratsii-motorola-serii-xt400-standarta-pmr446
11350;Новая переговорная DECT-система Kenwood WD-K10;novaya-peregovornaya-dect-sistema-kenwood-wd-k10
11365;IP-АТС Yeastar S100 получила мировое признание;ip-ats-yeastar-s100-poluchila-mirovoe-priznanie
11369;Новые цифровые/аналоговые трансиверы DMR Alinco;novye-tsifrovye-analogovye-transivery-dmr-alinco
11393;Новая портативная радиостанция Vostok ST-52;novaya-portativnaya-radiostantsiya-vostok-st-52
11397;Обновленное ПО MOTOTRBO 2.7.1 ;obnovlennoe-po-mototrbo-2-7-1-
11407;Icom ID-4100 - новая мобильная радиостанция D-STAR от Icom;icom-id-4100-novaya-mobilnaya-radiostantsiya-d-star-ot-icom
11408;Новая авиационная радиостанция Icom IC-A220T 8.33 кГц;novaya-aviatsionnaya-radiostantsiya-icom-ic-a220t-8-33-kgts
11427;Видеоконференцсвязь на основе систем ВКС от Yealink;videokonferentssvyaz-na-osnove-sistem-vks-ot-yealink
11472;Yealink SIP-T27G - уже в продаже;yealink-sip-t27g-uzhe-v-prodazhe
