IE_XML_ID;IE_NAME;IP_PROP29
3703;Motorola CP140;13037
3703;Motorola CP140;7393
3704;Motorola CP040;13037
3704;Motorola CP040;7393
3710;Motorola CP160;13037
3710;Motorola CP160;7393
3711;Motorola CP180;13037
3711;Motorola CP180;7393
3712;Motorola GP1280;13037
3712;Motorola GP1280;7393
3713;Motorola GP140;13037
3713;Motorola GP140;7393
3714;Motorola GP320;13037
3714;Motorola GP320;7393
3715;Motorola GP340;13037
3715;Motorola GP340;7393
3716;Motorola GP344;13037
3716;Motorola GP344;7393
3717;Motorola GP360;13037
3717;Motorola GP360;7393
3718;Motorola GP380;13037
3718;Motorola GP380;7393
3719;Motorola GP388;13037
3719;Motorola GP388;7393
3720;Motorola GP640;13037
3720;Motorola GP640;7393
3721;Motorola GP644;13037
3721;Motorola GP644;7393
3722;Motorola GP680;13037
3722;Motorola GP680;7393
3723;Motorola GP688;13037
3723;Motorola GP688;7393
3724;Motorola GP900;13037
3724;Motorola GP900;7393
3725;Motorola P020;13037
3725;Motorola P020;7393
3726;Motorola P080;13037
3726;Motorola P080;7393
3727;Icom IC-F16;
3728;Icom IC-F26;
3729;Icom IC-F30GT;
3730;Icom IC-F33GT;
3731;Icom IC-F3GS;
3732;Icom IC-F3GT;
3733;Icom IC-F40GT;
3734;Icom IC-F43GT;
3735;Icom IC-F50;
3736;Kenwood TK-2160;
3737;Kenwood TK-2170M;
3738;Kenwood TK-2206;
3740;Kenwood TK-3170M / TK-3170M3;
3742;Motorola DM3400 / 3401;13037
3743;Motorola DM3600 / 3601;13037
3744;Motorola DM4401;13037
3745;Motorola DM4601;13037
3746;Motorola DM1400;13037
3746;Motorola DM1400;12512
3747;Motorola DM1600;13037
3748;Motorola DM2600;13037
3749;Motorola DP2600;13037
3750;Motorola DP1400 (цифровая) ;13037
3750;Motorola DP1400 (цифровая) ;12512
3751;Motorola DP3400 / 3401;13037
3752;Motorola DP3600 / 3601;13037
3753;Motorola DP2400;13037
3754;Motorola DP4400;13037
3755;Motorola DP4601;13037
3756;Motorola DP4801;13037
3757;Motorola DP3441;13037
3758;Motorola SL4010;13037
3759;Motorola DP4401 Ex;13037
3760;Motorola DP4801 Ex;13037
3761;Motorola DR3000(1-25W);13037
3762;Motorola DR3000(25-45W);13037
3763;Motorola DR3000(1-40W);13037
3764;Motorola MTR3000;13037
3765;Motorola P030;13037
3765;Motorola P030;7393
3766;Motorola P040;13037
3766;Motorola P040;7393
3767;Motorola GP340 ATEX;13037
3767;Motorola GP340 ATEX;7393
3768;Motorola GP380 ATEX;13037
3768;Motorola GP380 ATEX;7393
3769;Motorola GP680 ATEX;13037
3769;Motorola GP680 ATEX;7393
