IE_XML_ID;IE_NAME;IE_CODE
10117;Обзор портативных раций Icom ;obzor-portativnykh-ratsiy-icom-
10171;Обзор радиостанции Vertex VZ-30;obzor-radiostantsii-vertex-vz-30
10183;Обзор новых портативных раций КОМБАТ T-34;obzor-novykh-portativnykh-ratsiy-kombat-t-34
10244;AVAYA – коммуникационные решения нового уровня;avaya-kommunikatsionnye-resheniya-novogo-urovnya
10246;Обзор телефонов Panasonic ;obzor-telefonov-panasonic-
10247;Обзор раций Kenwood;obzor-ratsiy-kenwood
10267;Рации TurboSky - новинка отечественного рынка;ratsii-turbosky-novinka-otechestvennogo-rynka
10275;Обзор автомобильных радиостанций ICOM;obzor-avtomobilnykh-radiostantsiy-icom
10460;Обзор автомобильных радиостанций Vertex Standard;obzor-avtomobilnykh-radiostantsiy-vertex-standard
10461;Применение IP-АТС для организации эффективной связи внутри компании;primenenie-ip-ats-dlya-organizatsii-effektivnoy-svyazi-vnutri-kompanii
10467;Промышленные телефоны ТАШ - надежная связь в любых условиях;promyshlennye-telefony-tash-nadezhnaya-svyaz-v-lyubykh-usloviyakh
10480;Обзор факсов Panasonic и факс-серверов Yeastar: виды, особенности, как выбрать и купить факс;obzor-faksov-panasonic-i-faks-serverov-yeastar-vidy-osobennosti-kak-vybrat-i-kupit-faks
10541;Обзор раций Hytera;obzor-ratsiy-hytera
10743;Обзор радиостанций MotoTRBO;obzor-radiostantsiy-mototrbo
10771;Стандарт TETRA;standart-tetra
10780;Обзор любительских КВ трансиверов;obzor-lyubitelskikh-kv-transiverov
10800;Разбираем стандарт DMR на примере радиостанций Hytera;razbiraem-standart-dmr-na-primere-radiostantsiy-hytera
10933;Радиостанции Icom как образец качества японского производства;radiostantsii-icom-kak-obrazets-kachestva-yaponskogo-proizvodstva
10935;Выбираем подходящий ip-телефон среди представителей Panasonic и Yealink;vybiraem-podkhodyashchiy-ip-telefon-sredi-predstaviteley-panasonic-i-yealink
10963;Обзор IP-АТС Panasonic KX-NCP1000RU  и KX-NCP500RU ;obzor-ip-ats-panasonic-kx-ncp1000ru-i-kx-ncp500ru-
11015;Как сэкономить на офисной связи, используя VoIP-шлюз;kak-sekonomit-na-ofisnoy-svyazi-ispolzuya-voip-shlyuz
11028;Обзор SIP DECT телефона Panasonic KX-TGP600 ;obzor-sip-dect-telefona-panasonic-kx-tgp600-
11031;Panasonic KX-NSX: надежная и гибкая UC-платформа;panasonic-kx-nsx-nadezhnaya-i-gibkaya-uc-platforma
11100;Будущее стандарта DMR и аналого-цифровой миграции;budushchee-standarta-dmr-i-analogo-tsifrovoy-migratsii
