IE_XML_ID;IE_NAME;IE_CODE
5172;Hytera PCN005;5172
7859;Kenwood TK-7100M;7859
7956;Diamond MC200;diamond-mc200
3761;Motorola DR3000(1-25W);3761
3762;Motorola DR3000(25-45W);3762
3763;Motorola DR3000(1-40W);3763
3764;Motorola MTR3000;3764
3798;Vertex Standard EVX-R70;3798
3799;Vertex Standard VXD-R70;3799
3808;Vertex Standard VXR-7000;3808
3809;Vertex Standard VXR-9000;3809
4262;Hytera RD625;4262
4263;Hytera RD985;hytera-rd985
4574;Hytera TR-800;4574
4802;Hytera RD965;4802
7572;Kenwood TKR-D710E;kenwood-tkr-d710e
7573;Kenwood TKR-D810E;kenwood-tkr-d810e
8274;Kenwood NXR-710K;kenwood-nxr-710k
8275;Kenwood NXR-710E;kenwood-nxr-710e
8276;Kenwood NXR-810K2;kenwood-nxr-810k2
8277;Kenwood NXR-810E;kenwood-nxr-810e
8279;Kenwood NXR-700K;8279
8280;Kenwood NXR-700E;kenwood-nxr-700e
8281;Kenwood NXR-800K2;8281
8282;Kenwood NXR-800K3;8282
8284;Kenwood NXR-800E;kenwood-nxr-800e
8285;Kenwood NXR-800E3;kenwood-nxr-800e3
8302;Kenwood NXR-800E4;kenwood-nxr-800e4
8374;Icom IC-FR5000;8374
8375;Icom IC-FR6000;8375
8417;Kenwood TKR-750K;kenwood-tkr-750k
8418;Kenwood TKR-850K3;kenwood-tkr-850k3
8419;Kenwood TKR-850K;kenwood-tkr-850k
8591;Hytera RD985S;hytera-rd985s
8659;Icom IC-FR5000 #33;8659
8660;Icom IC-FR5100;8660
8661;Icom IC-FR6000 #33;8661
8662;Icom IC-FR5100 #34;8662
8663;Icom IC-FR5100H;8663
8664;Icom IC-FR6100;8664
8665;Icom IC-FR6100 #34;8665
8666;Icom IC-FR6100H;8666
8992;Motorola SLR 5500;motorola-slr-5500
9467;Optimcom BF-3000;9467
9468;Optimcom BF-2000;9468
9579;Icom IC-FR9010;9579
9580;Icom IC-FR9020;9580
10496;Аргут DR-25 ;10496
10497;Аргут А-701;argut-a-701
11086;Optim RT-1;11086
11712;Icom IC-FC9110;11712
11982;Surecom SR-112 ;11982
11983;Surecom SR-328;11983
11984;Surecom SR-628;11984
11990;Surecom SR-629;11990
12255;Motorola SLR 8000;motorola-slr-8000
12897;ЦРР25-dPMR #1;12897
12899;ЦРР25-dPMR #5;12899
12900;ЦРР25-DMR #1;12900
12903;ЦРР25-DMR #5;12903
13150;Icom IC-FR5200H;13150
13152;Icom IC-FR6200H;13152
13155;Icom IC-FR5000C;13155
13157;Icom IC-FR6000C;13157
13201;Ajetrays GR8600;13201
13335;Motorola SLR 1000;motorola-slr-1000
13480;Yaesu DR-1X;13480
13481;Yaesu DR-2X ;13481
13942;Alinco RS-D7;13942
13943;Alinco RS-D8;13943
14033;Бизон KR100 50 Вт;bizon-kr100-50-vt
14509;Caltta PR900;14509
14511;Caltta PR800;14511
14709;Motorola SLR 5500 300-360 МГц;motorola-slr-5500-300-360-mgh
14710;Motorola SLR 5500 403-470 МГц;motorola-slr-5500-403-470-mgh
14720;Комбат T-440R DMR;14720
14722;Комбат Т-340R;14722
14841;Racio RD1000;racio-rd1000
15286;Бизон KR100P;bizon-kr100p
15290;Бизон KR100DS VHF/UHF;bizon-kr100ds-vhf-uhf
15291;Бизон KR100 25В;bizon-kr100-25v
15332;Vostok DR-600 DMR;vostok-dr-600-dmr
15333;Vostok RT-10;vostok-rt-10
15393;Терек РТ-2800;terek-rt-2800
15395;Терек РТ-9100;terek-rt-9100
15432;Аргут DR50-DMR VHF;argut-dr50-dmr-vhf
15434;Аргут DR50-DMR UHF;argut-dr50-dmr-uhf
17250;Hytera RD985S 100W;hytera-rd985s-100w
3860;Yeastar MyPBX U520;3860
3865;Yeastar MyPBX U510;3865
3866;Yeastar MyPBX U500;3866
3867;Yeastar MyPBX U300;3867
3868;Yeastar MyPBX U200;3868
3869;Yeastar MyPBX U100;3869
3870;Yeastar MyPBX Standard;3870
3871;Yeastar MyPBX SOHO;3871
4091;Grandstream UCM6102;4091
4096;Grandstream UCM6104;4096
4099;Grandstream UCM6108;4099
4307;Panasonic KX-NCP1000RU;4307
4308;Panasonic KX-NCP500RU;4308
4309;Panasonic KX-TDE100RU;4309
4310;Panasonic KX-TDE200RU;4310
4312;Panasonic KX-TDE600RU;4312
4867;АГАТ UX-5111;4867
4868;АГАТ UX-5110/FXO4;4868
4997;АГАТ UX-3710;4997
4998;АГАТ UX-3730;4998
4999;АГАТ UX-2211;4999
5002;АГАТ UX-3410;5002
5003;АГАТ UX-3720;5003
5004;АГАТ UX-3420;5004
5009;АГАТ UX-3212;5009
5049;Zycoo CooVox U20-A202;5049
5050;Zycoo CooVox U20-A220;5050
6170;ERICSSON-LG SBG-1000.STG;6170
6653;LG-Ericsson LIK-Micro;6653
6654;LG-ERICSSON LIK-MFIM50A;6654
6655;LG-ERICSSON LIK-MFIM50B ;6655
6656;LG-ERICSSON LIK-MFIM100;6656
6657;LG-ERICSSON LIK-MFIM300;6657
6658;LG-ERICSSON LIK-MFIM600;6658
6659;LG-ERICSSON LIK-MFIM1200;6659
6807;LG-ERICSSON CM-S2K.STG;6807
6808;LG-ERICSSON CM-S1K.STG;6808
6811;LG-ERICSSON CM-MGC2.STG;6811
7189;Mocet IG7600;7189
7195;Atcom IP-2G4A;7195
7196;Atcom IP-4G;7196
7197;Atcom IP01;7197
7198;Atcom IP02;7198
7199;Atcom IP08;7199
7200;Atcom IP04;7200
8058;Grandstream UCM6116;8058
8423;Grandstream UCM6510;8423
8741;OpenVox iCallDroid (1 FXO, 1 FXS);8741
8742;OpenVox iCallDroid;8742
8743;OpenVox iCallDroid spot;8743
8744;OpenVox IX132;8744
8745;OpenVox IX210;8745
8753;Yeastar N824;8753
9066;LG-ERICSSON SBG-1000.PKG;9066
9331;Yeastar N1;9331
10108;Avaya IPO 500 V2;10108
10489;Yeastar N412;10489
10568;Yeastar S100;10568
10571;Yeastar S300;10571
10572;Yeastar S20;10572
10573;Yeastar S50;10573
10574;Yeastar D30;10574
11053;Panasonic KX-NS1000RU;11053
11055;Panasonic KX-NS500RU;11055
11297;Grandstream UCM6202;11297
11298;Grandstream UCM6204;11298
11300;Grandstream UCM6208;11300
12690;Panasonic KX-HTS824RU;12690
12692;Panasonic KX-NSX1000RU;12692
12695;Panasonic KX-NSX2000RU;12695
5153;Hanlong UC40;5153
5154;Hanlong A320 HD IP3;5154
5155;Hanlong A310 IP;5155
5400;Plantronics BlackWire C520;5400
5402;Plantronics BlackWire C420;5402
5403;Plantronics Blackwire C310;5403
5404;Plantronics Blackwire C320;5404
5413;Plantronics BlackWire C620-M;5413
5414;Plantronics SupraPlus BNC Wideband;5414
5415;Plantronics SupraPlus NC Wideband USB;5415
5416;Plantronics IP40;5416
5417;Plantronics M22;5417
5418;Plantronics DM15;5418
5419;Plantronics MDA200;5419
5420;Plantronics МО300;5420
5421;Plantronics А10;5421
5448;Plantronics CAB-Y;5448
5449;Plantronics CAB-PC;5449
5450;Plantronics HIC-1;5450
5451;Plantronics U10P-S;5451
5452;Plantronics Entera BNC;5452
5453;Plantronics Entera NC;5453
5454;Plantronics SupraPlus Wideband (PL-HW261);5454
5455;Plantronics SupraPlus Wideband (PL-HW251);5455
5456;Plantronics SupraPlus Wideband (PL-HW261N);5456
5457;Plantronics SupraPlus Wideband (PL-HW251N);5457
5458;Plantronics EncorePro NC (PL-HW291N);5458
5459;Plantronics EncorePro BNC (PL-HW301N);5459
5460;Jabra BIZ 2300 QD Duo;5460
5461;Jabra BIZ 2300 QD Mono;5461
5462;Jabra BIZ 2300 QD Duo Unify;5462
5463;Jabra BIZ 2300 QD Mono Unify;5463
5464;Jabra BIZ 2300 USB Microsoft Lync Duo;5464
5465;Jabra BIZ 2300 USB UC Microsoft Lync Mono;5465
5468;Jabra BIZ 2400 Mono 3-in-1 (2406-320-104);5468
5469;Jabra BIZ 2400 (II) Mono 3-in-1;5469
5470;Jabra BIZ 2400 Mono 3-in-1 (II);5470
5471;Jabra BIZ 2400 Mono (II) 3-in-1;5471
5472;Jabra BIZ 2400 Mono (II) 3-in-1;5472
5473;Jabra BIZ 2400 Duo (II);5473
5474;Jabra BIZ 2400 Duo (II);5474
5475;Jabra BIZ 2400 Duo (II);5475
5476;Jabra BIZ 2400 Duo (II);5476
5477;Jabra BIZ 2400 Duo;5477
5478;Jabra GN2000 Mono SoundTube Narrow Band (2003-320-104);5478
5479;Jabra GN2000 Mono NC WB (wideband) (2013-82-04) ;5479
