IE_XML_ID;IE_NAME;IE_CODE
4190;Организация постоянной связи участников экспедиции;organizatsiya-postoyannoy-svyazi-uchastnikov-ekspeditsii
4203;Радиосвязь через Интернет — быстрое решение;radiosvyaz-cherez-internet-bystroe-reshenie
4351;Организация диспетчерской связи на платформе MOTOTRBO™;organizatsiya-dispetcherskoy-svyazi-na-platforme-mototrbo
6135;Простое решение офисной IP-телефонии;prostoe-reshenie-ofisnoy-ip-telefonii
6719;Система доступа и связи для медицинского учреждения;sistema-dostupa-i-svyazi-dlya-meditsinskogo-uchrezhdeniya
6950;Система диспетчерского управления NexeTalk;sistema-dispetcherskogo-upravleniya-nexetalk
6956;"Офис ""под ключ""";ofis-pod-klyuch
7028;СКУД - интерком: решение для офисных центров;skud-interkom-reshenie-dlya-ofisnykh-tsentrov
7057;Система интерком-связи: решение для взрывоопасных зон;sistema-interkom-svyazi-reshenie-dlya-vzryvoopasnykh-zon
7291;Диспетчерское программное обеспечение NexeTalk;dispetcherskoe-programmnoe-obespechenie-nexetalk
7351;Телефонизация объектов, удаленных от традиционных линий связи;telefonizatsiya-obektov-udalennykh-ot-traditsionnykh-liniy-svyazi
7354;GSM-репитер Vector R-710;gsm-repiter-vector-r-710
7798;Связь и контроль доступа: решение на базе IP технологий;svyaz-i-kontrol-dostupa-reshenie-na-baze-ip-tekhnologiy
7799;Системы контроля доступа GUINAZ для зданий;sistemy-kontrolya-dostupa-guinaz-dlya-zdaniy
9328;Диспетчерский центр на базе аэродрома;dispetcherskiy-tsentr-na-baze-aerodroma
9561;Интегрированная сеть коммутации офиса и судна;integrirovannaya-set-kommutatsii-ofisa-i-sudna
9598;Портативные рации - прекрасный подарок охотнику и рыбаку на 23 февраля;portativnye-ratsii-prekrasnyy-podarok-okhotniku-i-rybaku-na-23-fevralya
9657;Переходник СПУ-наушники для связи внутри вертолета и на земле;perekhodnik-spu-naushniki-dlya-svyazi-vnutri-vertoleta-i-na-zemle
9902;Построение системы оперативной связи на базе Motorola семейства MotoTRBO;postroenie-sistemy-operativnoy-svyazi-na-baze-motorola-semeystva-mototrbo
9939;Решение по организации телефонной сети для офиса на 70 сотрудников;reshenie-po-organizatsii-telefonnoy-seti-dlya-ofisa-na-70-sotrudnikov
10521;Решение по организации связи диспетчер/платформа;reshenie-po-organizatsii-svyazi-dispetcher-platforma
10577;Организация радиосвязи на ПМЭФ-2016;organizatsiya-radiosvyazi-na-pmef-2016
10805;Конвенциональная связь и другие решения на базе MotoTrbo;konventsionalnaya-svyaz-i-drugie-resheniya-na-baze-mototrbo
10939;Оборудование Yealink для организации SIP-телефонии и оповещения;oborudovanie-yealink-dlya-organizatsii-sip-telefonii-i-opoveshcheniya
11022;Маринэк предлагает решение на основе MotoTRBO;marinek-predlagaet-reshenie-na-osnove-mototrbo
12201;Организация системы IP телефонии для банка;organizatsiya-sistemy-ip-telefonii-dlya-banka
12982;Система оперативной связи на базе Motorola для объектов ТЭК;sistema-operativnoy-svyazi-na-baze-motorola-dlya-obektov-tek
13971;Телефонизация гостиниц и других объектов;telefonizatsiya-gostinits-i-drugikh-obektov
14775;Motorola для объектов ТЭК Лукойла;motorola-dlya-obektov-tek-lukoyla
15039;Motorola и ТАШ для нефтеперерабатывающего завода;motorola-i-tash-dlya-neftepererabatyvayushchego-zavoda
15459;Маринэк оснащает медучреждения системами резервной связи;marinek-k-osnashchaet-meduchrezhdeniya-sistemami-rezervnoy-svyazi
15462;Маринэк реализовал проект оснащения аэропорта оборудованием Motorola;marinek-realizoval-proekt-osnashcheniya-aeroporta-oborudovaniem-motorola
15469;Система связи для крупного предприятия на базе Motorola;sistema-svyazi-dlya-krupnogo-predpriyatiya-na-baze-motorola
15484;Комплексная система связи Моторола для нефтеперерабатывающего завода;kompleksnaya-sistema-svyazi-motorola-dlya-neftepererabatyvayushchego-zavoda
