IE_XML_ID;IE_NAME;IE_DETAIL_TEXT_TYPE
5172;Hytera PCN005;html
7859;Kenwood TK-7100M;html
7956;Diamond MC200;html
3761;Motorola DR3000(1-25W);html
3762;Motorola DR3000(25-45W);html
3763;Motorola DR3000(1-40W);html
3764;Motorola MTR3000;html
3798;Vertex Standard EVX-R70;html
3799;Vertex Standard VXD-R70;html
3808;Vertex Standard VXR-7000;html
3809;Vertex Standard VXR-9000;html
4262;Hytera RD625;html
4263;Hytera RD985;html
4574;Hytera TR-800;html
4802;Hytera RD965;html
7572;Kenwood TKR-D710E;html
7573;Kenwood TKR-D810E;html
8274;Kenwood NXR-710K;html
8275;Kenwood NXR-710E;html
8276;Kenwood NXR-810K2;html
8277;Kenwood NXR-810E;html
8279;Kenwood NXR-700K;html
8280;Kenwood NXR-700E;html
8281;Kenwood NXR-800K2;html
8282;Kenwood NXR-800K3;html
8284;Kenwood NXR-800E;html
8285;Kenwood NXR-800E3;html
8302;Kenwood NXR-800E4;html
8374;Icom IC-FR5000;html
8375;Icom IC-FR6000;html
8417;Kenwood TKR-750K;html
8418;Kenwood TKR-850K3;html
8419;Kenwood TKR-850K;html
8591;Hytera RD985S;html
8659;Icom IC-FR5000 #33;html
8660;Icom IC-FR5100;html
8661;Icom IC-FR6000 #33;html
8662;Icom IC-FR5100 #34;html
8663;Icom IC-FR5100H;html
8664;Icom IC-FR6100;html
8665;Icom IC-FR6100 #34;html
8666;Icom IC-FR6100H;html
8992;Motorola SLR 5500;html
9467;Optimcom BF-3000;html
9468;Optimcom BF-2000;html
9579;Icom IC-FR9010;html
9580;Icom IC-FR9020;html
10496;Аргут DR-25 ;html
10497;Аргут А-701;html
11086;Optim RT-1;html
11712;Icom IC-FC9110;html
11982;Surecom SR-112 ;html
11983;Surecom SR-328;html
11984;Surecom SR-628;html
11990;Surecom SR-629;html
12255;Motorola SLR 8000;html
12897;ЦРР25-dPMR #1;html
12899;ЦРР25-dPMR #5;html
12900;ЦРР25-DMR #1;html
12903;ЦРР25-DMR #5;html
13150;Icom IC-FR5200H;html
13152;Icom IC-FR6200H;html
13155;Icom IC-FR5000C;html
