IE_XML_ID;IE_NAME;IE_CODE;IC_GROUP1
49729;Motorola DM1400;motorola-dm1400;Автомобильные рации
260;Тестовый товар;testovyy_tovar;IP видеокамеры
383;Motorola DM1600;motorola-dm1600;Автомобильные рации
384;Motorola DP1400 analog;motorola-dp1400-analog;Портативные радиостанции
385;Motorola DP1400;motorola-dp1400;Портативные радиостанции
386;Hytera RD985;hytera-rd985;Ретрансляторы
387;Hytera RD985S;hytera-rd985s;Ретрансляторы
388;Alinco DX-SR-08;alinco-dx-sr-08;КВ-трансиверы
389;Alinco DX-SR-09;alinco-dx-sr-09;КВ-трансиверы
390;Optim ML-145 Strong;optim-ml-145-strong;Антенны для раций
391;Alinco EA-145;alinco-ea-145;Антенны для раций
392;Vector HM-44;vector-hm-44;Аксессуары для портативных радиостанций
393;Alinco EBP-58N;alinco-ebp-58n;Аксессуары для портативных радиостанций
394;Блок питания АРГУТ;blok-pitaniya-argut;Аксессуары для мобильных радиостанций
395;Alinco EMS-53;alinco-ems-53;Аксессуары для мобильных радиостанций
396;Grandstream GAC2500;grandstream-gac2500;IP телефоны
397;Grandstream DP750;grandstream-dp750;IP телефоны
398;Grandstream UCM6510;grandstream-ucm6510;IP АТС
399;Yeastar S50;yeastar-s50;IP АТС
400;Grandstream GXV-3672 HD 36;grandstream-gxv-3672-hd-36;IP видеокамеры
401;Grandstream GXV-3610 HD;grandstream-gxv-3610-hd;IP видеокамеры
402;Grandstream GVC3200;grandstream-gvc3200;Видеоконференцсвязь
3994;Yaesu VX-6R;yaesu-vx-6r;Портативные радиостанции
15470;Vostok ST-73;vostok-st-73;Портативные радиостанции
13824;Vostok ST-71;vostok-st-71;Портативные радиостанции
15468;Vostok ST-58;vostok-st-58;Портативные радиостанции
7245;Vostok ST-55;vostok-st-55;Портативные радиостанции
11387;Vostok ST-52;vostok-st-52;Портативные радиостанции
7247;Vostok ST-31;vostok-st-31;Портативные радиостанции
15329;Vostok ST-203K;vostok-st-203k;Портативные радиостанции
15328;Vostok ST-203;vostok-st-203;Портативные радиостанции
12470;Vostok ST-101DW;vostok-st-101dw;Портативные радиостанции
6487;Vostok ST-101;vostok-st-101;Портативные радиостанции
11251;Vector VT-80 ST;vector-vt-80-st;Портативные радиостанции
11249;Vector VT-80 F;vector-vt-80-f;Портативные радиостанции
8210;Vector VT-67 S;vector-vt-67-s;Портативные радиостанции
11774;Vector VT-50 MTR;vector-vt-50-mtr;Портативные радиостанции
11772;Vector VT-50 ML;vector-vt-50-ml;Портативные радиостанции
8215;Vector VT-44 TURBO;vector-vt-44-turbo;Портативные радиостанции
3823;Vector VT-44 PRO;vector-vt-44-pro;Портативные радиостанции
8220;Vector VT-44 Military (body);vector-vt-44-military-body;Портативные радиостанции
3838;Vector VT-44 Military #03;vector-vt-44-military-03;Портативные радиостанции
3834;Vector VT-44 HS;vector-vt-44-hs;Портативные радиостанции
8217;Vector VT-44 H #V;vector-vt-44-h-v;Портативные радиостанции
