Отчет о целевых страницах
11 февраля 2021 г. - 17 февраля 2021 г.
Целевая страница,Скорость работы на мобильных устройствах,Доля кликов для мобильных страниц,Доля кликов для AMP-страниц,"Доля кликов, совместимых с отслеживанием конверсий",Kлики,Показы,CTR,Код валюты,Средняя цена за клик,Стоимость
https://landcomm.ru/catalog/ip-telefoniya-i-setevoe-oborudovanie/filter/price-base-to-40000/brand-is-yealink/apply/, --, --, --, --,0,30,"0,00%",RUB, --,"0,00"
https://landcomm.ru/company/brands/lg_ericsson/, --, --, --, --,0,17,"0,00%",RUB, --,"0,00"
https://landcomm.ru/catalog/ip-telefoniya-i-setevoe-oborudovanie/filter/brand-is-irz/apply/, --, --, --, --,1,62,"1,61%",RUB,"8,08","8,08"
https://landcomm.ru/catalog/brands/4528/, --, --, --, --,0,5,"0,00%",RUB, --,"0,00"
https://landcomm.ru/catalog/kupit-avtomobilnuyu-raciyu/, --,62%, --,100%,52,1 085,"4,79%",RUB,"7,07","367,55"
https://landcomm.ru/catalog/radiostancii/filter/brand-is-kenwood%20/apply/, --,66%, --,66%,5,189,"2,65%",RUB,"7,55","37,76"
https://landcomm.ru/catalog/brands/10079/, --, --, --, --,0,18,"0,00%",RUB, --,"0,00"
https://landcomm.ru/catalog/radiostancii/filter/brand-is-%D0%BA%D0%BE%D0%BC%D0%B1%D0%B0%D1%82/apply/, --,100%, --,100%,3,30,"10,00%",RUB,"5,76","17,27"
https://landcomm.ru/catalog/ip-telefoniya-i-setevoe-oborudovanie/filter/brand-is-lg-ericsson/apply/, --, --, --, --,0,35,"0,00%",RUB, --,"0,00"
https://landcomm.ru/catalog/brands/4235/, --, --, --, --,0,10,"0,00%",RUB, --,"0,00"
https://landcomm.ru/catalog/brands/7241/, --,0%, --, --,1,13,"7,69%",RUB,"6,36","6,36"
https://landcomm.ru/catalog/brands/3709/, --,0%, --,100%,3,94,"3,19%",RUB,"7,29","21,88"
https://landcomm.ru/catalog/radiostancii/filter/brand-is-ajetrays/apply/, --,100%, --,100%,4,20,"20,00%",RUB,"6,33","25,33"
https://landcomm.ru/catalog/ip-telefon/filter/brand-is-snom/apply/, --, --, --, --,0,6,"0,00%",RUB, --,"0,00"
https://landcomm.ru/catalog/radiostancii/filter/brand-is-icom/apply/, --,33%, --,66%,5,117,"4,27%",RUB,"7,49","37,45"
https://landcomm.ru/catalog/kupit-raciyu/filter/brand-is-turbosky/apply/, --, --, --, --,1,38,"2,63%",RUB,"1,34","1,34"
https://landcomm.ru/catalog/radiostancii/filter/brand-is-racio/apply/, --,100%, --, --,2,64,"3,13%",RUB,"7,06","14,11"
https://landcomm.ru/catalog/radiostancii/filter/brand-is-vostok/apply/, --,33%, --,0%,4,116,"3,45%",RUB,"7,14","28,57"
https://landcomm.ru/catalog/brands/3841/, --,0%, --,100%,1,15,"6,67%",RUB,"6,36","6,36"
https://landcomm.ru/catalog/brands/3707/, --,100%, --,100%,7,117,"5,98%",RUB,"5,99","41,94"
https://landcomm.ru/catalog/brands/13597/, --,0%, --,100%,1,16,"6,25%",RUB,"6,27","6,27"
https://landcomm.ru/catalog/radiostancii/filter/price-base-to-40000/brand-is-hytera/apply/, --, --, --,100%,3,68,"4,41%",RUB,"5,66","16,98"
https://landcomm.ru/catalog/kupit-raciyu/, --,10%, --,100%,14,160,"8,75%",RUB,"5,88","82,36"
https://landcomm.ru/catalog/radiostancii/filter/brand-is-%D0%B0%D1%80%D0%B3%D1%83%D1%82/apply/, --,66%, --,60%,5,115,"4,35%",RUB,"6,05","30,26"
https://landcomm.ru/catalog/ip-telefony/, --, --, --, --,0,16,"0,00%",RUB, --,"0,00"
https://landcomm.ru/catalog/brands/4330/, --,0%, --,100%,7,89,"7,87%",RUB,"5,45","38,12"
https://landcomm.ru/catalog/brands/14802/, --,0%, --,100%,2,38,"5,26%",RUB,"6,55","13,10"
https://landcomm.ru/catalog/brands/5968/, --,0%, --,100%,2,59,"3,39%",RUB,"7,14","14,28"
https://landcomm.ru/catalog/kupit-raciyu/filter/brand-is-%D1%82%D0%B5%D1%80%D0%B5%D0%BA/apply/, --,100%, --,100%,1,38,"2,63%",RUB,"5,50","5,50"
https://landcomm.ru/catalog/brands/9756/, --, --, --, --,0,15,"0,00%",RUB, --,"0,00"
https://landcomm.ru/catalog/brands/12465/, --, --, --,100%,1,31,"3,23%",RUB,"6,32","6,32"
https://landcomm.ru/catalog/promyshlennyj-telefon/, --, --, --,66%,3,39,"7,69%",RUB,"6,23","18,68"
https://landcomm.ru/catalog/brands/4243/, --,0%, --,100%,4,34,"11,76%",RUB,"6,61","26,42"
https://landcomm.ru/catalog/antenna-dlya-racii/, --, --, --,100%,1,40,"2,50%",RUB,"3,76","3,76"
https://landcomm.ru/catalog/antenna-dlya-racii/?action=filter&FILTER_L%5BPRICE%5D%5BMIN%5D=1064&FILTER_L%5BPRICE%5D%5BMAX%5D=116464&show_without_price=1&FILTER_L%5B306%5D=0&FILTER_L%5B387%5D=8206&FILTER_L%5B570%5D=0&FILTER_L%5B605%5D=0, --, --, --, --,0,15,"0,00%",RUB, --,"0,00"
https://landcomm.ru/catalog/ip-telefon/filter/price-base-to-20000/apply/, --,100%, --,100%,1,19,"5,26%",RUB,"7,49","7,49"
https://landcomm.ru/catalog/radiostancii/filter/comply-is-716805aeb45aa54c514cdd80c72e6d6d/apply/, --, --, --, --,2,7,"28,57%",RUB,"7,36","14,72"
Итого (Целевые страницы), --,47%, --,93%,136,2 880,"4,72%",RUB,"6,60","898,26"
Итого (Аккаунт), --,47%, --,93%,143,2 880,"4,97%",RUB,"6,58","941,13"
