IE_NAME;IE_CODE;CV_PRICE_1;CV_CURRENCY_1
Motorola CP140;3703;;
Motorola CP040;3704;;
Motorola CP160;3710;;
Motorola CP180;3711;;
Motorola GP1280;3712;;
Motorola GP140;3713;;
Motorola GP320;3714;;
Motorola GP340;3715;;
Motorola GP344;3716;;
Motorola GP360;3717;;
Motorola GP380;3718;;
Motorola GP388;3719;;
Motorola GP640;3720;;
Motorola GP644;3721;;
Motorola GP680;3722;;
Motorola GP688;3723;;
Motorola GP900;3724;;
Motorola P020;3725;;
Motorola P080;3726;;
Icom IC-F16;icom-ic-f16;;
Icom IC-F26;icom-ic-f26;;
Icom IC-F30GT;3729;;
Icom IC-F33GT;3730;;
Icom IC-F3GS;3731;;
Icom IC-F3GT;3732;;
Icom IC-F40GT;3733;;
Icom IC-F43GT;3734;;
Icom IC-F50;icom-ic-f50;;
Kenwood TK-2160;3736;;
Kenwood TK-2170M;kenwood-tk-2170m;;
Kenwood TK-2206;3738;;
Kenwood TK-3170M / TK-3170M3;3740;;
Motorola DM3400 / 3401;3742;;
Motorola DM3600 / 3601;3743;;
Motorola DM4401;3744;;
Motorola DM4601;3745;;
Motorola DM1400;motorola-dm1400;;
Motorola DM1600;motorola-dm1600;;
Motorola DM2600;motorola-dm2600;;
Motorola DP2600;3749;;
Motorola DP1400 (цифровая);motorola-dp1400-cifrovaya;;
Motorola DP3400 / 3401;3751;;
Motorola DP3600 / 3601;3752;;
Motorola DP2400;3753;;
Motorola DP4400;3754;;
Motorola DP4601;3755;;
Motorola DP4801;3756;;
Motorola DP3441;3757;;
Motorola SL4010;3758;;
Motorola DP4401 Ex;motorola-dp4401-ex;;
Motorola DP4801 Ex;motorola-dp4801-ex;;
Motorola DR3000(1-25W);3761;;
Motorola DR3000(25-45W);3762;;
Motorola DR3000(1-40W);3763;;
Motorola MTR3000;3764;;
Motorola P030;3765;;
Motorola P040;3766;;
Motorola GP340 ATEX;3767;;
Motorola GP380 ATEX;3768;;
Motorola GP680 ATEX;3769;;
Motorola CM140;3770;;
Motorola CM160;3771;;
Motorola CM340;3772;;
Motorola CM360;3773;;
Motorola GM140;3774;;
Motorola GM160;3775;;
